cfda_number,fiscal_year,sam_estimate,sam_actual,usa_spending_obligation
10.001,2016.0,35000000.0,45381885.0,
10.001,2017.0,35000000.0,45381885.0,
10.001,2018.0,35000000.0,6271318.0,195777144.27
10.001,2019.0,4704045.0,4704045.0,182033622.13
10.001,2020.0,6617316.0,9089413.0,209098916.34
10.001,2021.0,7000000.0,9298763.0,252321471.7
10.001,2022.0,9317360.0,0.0,168363027.16
10.001,2023.0,9354555.0,0.0,90507529.02
10.025,2021.0,0.0,282064517.0,323956473.48
10.025,2022.0,367911105.0,0.0,423339758.34
10.025,2023.0,290294163.0,0.0,317275705.02
10.028,2021.0,0.0,10563111.0,10483746.81
10.028,2022.0,10693742.0,0.0,32286467.79
10.028,2023.0,10800930.0,0.0,27323917.029999997
10.030,2020.0,0.0,21375161.0,
10.030,2021.0,5107724.0,4441997.0,
10.030,2022.0,267114667.0,0.0,
10.030,2023.0,99150936.0,0.0,
10.051,2016.0,6757069000.0,6773197568.0,
10.051,2017.0,6960708734.0,6960708734.0,
10.051,2018.0,8317478500.0,3145682000.0,180908126.81000003
10.051,2019.0,3239309000.0,3239309000.0,233352476.42000002
10.051,2020.0,3224781000.0,4061926000.0,240500118.31
10.051,2021.0,4304933000.0,6381203999.0,308745500.52
10.051,2022.0,6301593000.0,0.0,233428365.32
10.051,2023.0,7376264000.0,0.0,73658380.81
10.053,2016.0,290482000.0,161410.0,
10.053,2017.0,465500.0,224334.0,
10.053,2018.0,467000.0,173000.0,158799.64
10.053,2019.0,3439646.0,4137000.0,3752509.23
10.053,2020.0,5176000.0,5661000.0,5645914.640000001
10.053,2021.0,7638300.0,8100000.0,2353005.07
10.053,2022.0,500000.0,0.0,4694853.579999999
10.053,2023.0,500000.0,0.0,402495.66
10.054,2016.0,77000000.0,71000000.0,
10.054,2017.0,90000000.0,104312000.0,
10.054,2018.0,200000000.0,176461000.0,97654224.18
10.054,2019.0,260000000.0,260000000.0,69115388.83
10.054,2020.0,200000000.0,267041000.0,130086533.07
10.054,2021.0,200000000.0,123712000.0,85691530.99000001
10.054,2022.0,200000000.0,0.0,80072502.48
10.054,2023.0,100000000.0,0.0,62380543.230000004
10.056,2016.0,180000000.0,0.0,
10.056,2017.0,309000000.0,308500000.0,
10.056,2018.0,308500000.0,245952000.0,35213.55
10.056,2019.0,308500000.0,235882000.0,0.0
10.056,2020.0,308500000.0,410000000.0,0.0
10.056,2021.0,400000000.0,452800000.0,0.0
10.056,2022.0,484200000.0,0.0,0.0
10.056,2023.0,468500000.0,0.0,0.0
10.069,2016.0,1835895000.0,2120000000.0,
10.069,2017.0,2133000000.0,1881845000.0,
10.069,2018.0,2127813000.0,1953083000.0,1947883735.28
10.069,2019.0,2086496000.0,1901726000.0,1889248458.5
10.069,2020.0,2044094000.0,1853886.0,1848711884.96
10.069,2021.0,2056282.0,2090000000.0,1839986094.69
10.069,2022.0,2145735000.0,0.0,1810460642.9099998
10.069,2023.0,2476454000.0,0.0,1710091776.35
10.072,2016.0,161230000.0,54326000.0,
10.072,2017.0,166171000.0,127279000.0,
10.072,2018.0,176444000.0,152974000.0,
10.072,2019.0,31000000.0,28342000.0,
10.072,2020.0,20786000.0,8662000.0,
10.072,2021.0,16086000.0,13356000.0,
10.072,2022.0,9601000.0,0.0,2345429.98
10.072,2023.0,1309000.0,0.0,97048.16
10.087,2016.0,32478000.0,3000000.0,
10.087,2017.0,3000000.0,3000000.0,
10.087,2018.0,0.0,1308000.0,1175459.9
10.087,2019.0,0.0,0.0,249560.25
10.087,2020.0,0.0,0.0,100837.0
10.087,2021.0,0.0,55000.0,55247.0
10.087,2022.0,58000.0,0.0,51740.0
10.087,2023.0,58000.0,0.0,47128.0
10.089,2012.0,198000000.0,78713158.0,
10.089,2013.0,0.0,0.0,
10.089,2014.0,0.0,0.0,
10.089,2019.0,0.0,0.0,
10.089,2020.0,0.0,0.0,36276.0
10.089,2021.0,0.0,0.0,24172.0
10.089,2022.0,0.0,0.0,15926.0
10.089,2023.0,0.0,0.0,
10.093,2016.0,18000.0,0.0,
10.093,2017.0,0.0,0.0,
10.093,2018.0,18000.0,0.0,
10.093,2019.0,10000000.0,250000.0,
10.093,2020.0,14000000.0,49524000.0,
10.093,2021.0,548000.0,162000.0,
10.093,2022.0,1658000.0,0.0,0.0
10.093,2023.0,117000.0,0.0,0.0
10.098,2016.0,1996000.0,1904955.0,
10.098,2017.0,1996000.0,1996000.0,
10.098,2018.0,1996000.0,1996000.0,2032949.1300000001
10.098,2019.0,1996000.0,1996000.0,1196138.49
10.098,2020.0,2000000.0,2000000.0,2072509.9500000002
10.098,2021.0,2000000.0,2000000.0,2003052.67
10.098,2022.0,3000000.0,0.0,20114.07
10.098,2023.0,3000000.0,0.0,2886839.36
10.099,2015.0,150000000.0,1355000.0,
10.099,2016.0,150000000.0,0.0,
10.099,2017.0,150000000.0,0.0,
10.099,2018.0,150000000.0,150000000.0,
10.099,2019.0,150000000.0,0.0,
10.099,2020.0,150000000.0,150000000.0,
10.099,2021.0,150000000.0,150000000.0,
10.099,2022.0,150000000.0,0.0,
10.099,2023.0,150000000.0,0.0,
10.102,2016.0,32000000.0,3000000.0,
10.102,2017.0,24000000.0,5382000.0,
10.102,2018.0,15000000.0,12725000.0,2104738.64
10.102,2019.0,15000000.0,1837000.0,909331.0
10.102,2020.0,350000000.0,68059000.0,3268776.0
10.102,2021.0,100000000.0,100000000.0,5207131.03
10.102,2022.0,100000000.0,0.0,13278256.94
10.102,2023.0,0.0,0.0,16414930.07
10.108,2016.0,97963000.0,43000000.0,
10.108,2017.0,34000000.0,25066000.0,
10.108,2018.0,30671000.0,36615000.0,36830281.45
10.108,2019.0,29779000.0,49920000.0,45024846.04
10.108,2020.0,32978000.0,61219000.0,61170052.6
10.108,2021.0,50681000.0,16354000.0,17581945.0
10.108,2022.0,35376000.0,0.0,19955066.0
10.108,2023.0,35272000.0,0.0,42370051.0
10.109,2016.0,705868000.0,430000000.0,
10.109,2017.0,312000000.0,350709000.0,
10.109,2018.0,393550000.0,487455000.0,478051312.88
10.109,2019.0,801418000.0,287931000.0,256317801.12
10.109,2020.0,492319000.0,160304000.0,158679405.72
10.109,2021.0,236939000.0,543580000.0,514285299.59000003
10.109,2022.0,1651844000.0,0.0,1128057753.94
10.109,2023.0,385927000.0,0.0,1051871579.0
10.110,2016.0,24769000.0,17000000.0,
10.110,2017.0,17000000.0,18223000.0,
10.110,2018.0,19500000.0,47064000.0,
10.110,2019.0,37205000.0,46097000.0,
10.110,2020.0,43576000.0,60421000.0,
10.110,2021.0,57940000.0,76308999.0,
10.110,2022.0,211092999.0,0.0,
10.110,2023.0,190000000.0,0.0,
10.111,2016.0,14624000.0,30000000.0,
10.111,2017.0,21000000.0,6912000.0,
10.111,2018.0,20000000.0,11267000.0,11420597.58
10.111,2019.0,30877000.0,15435000.0,13586265.430000002
10.111,2020.0,32139000.0,54254000.0,11143168.89
10.111,2021.0,9147000.0,9452000.0,9825434.950000001
10.111,2022.0,7812999.0,0.0,10454685.27
10.111,2023.0,6934000.0,0.0,10102355.76
10.112,2016.0,3047000000.0,5841000000.0,
10.112,2017.0,3052000000.0,1952650000.0,
10.112,2018.0,3621780000.0,1231000000.0,7094915554.09
10.112,2019.0,3965000000.0,2042545000.0,3123828835.34
10.112,2020.0,1794382000.0,1927807000.0,2632003883.73
