data.programNumber,value
16.305,Federal
16.305,"State (includes District of Columbia, public institutions of higher education and hospitals)"
16.305,"Local (includes State-designated lndian Tribes, excludes institutions of higher education and hospitals"
16.305,Individual/Family
90.601,Government - General
90.601,Interstate
90.601,Intrastate
90.601,"State (includes District of Columbia, public institutions of higher education and hospitals)"
90.601,"Local (includes State-designated lndian Tribes, excludes institutions of higher education and hospitals"
90.601,Public nonprofit institution/organization (includes institutions of higher education and hospitals)
90.601,Other public institution/organization
90.601,Federally Recognized lndian Tribal Governments
90.601,Private nonprofit institution/organization (includes institutions of higher education and hospitals)
90.601,Quasi-public nonprofit institution/organization
90.601,State
90.601,"Native American Organizations (includes lndian groups, cooperatives, corporations, partnerships, associations)"
16.303,Federal
16.303,"State (includes District of Columbia, public institutions of higher education and hospitals)"
16.303,"Local (includes State-designated lndian Tribes, excludes institutions of higher education and hospitals"
90.199,Anyone/general public
16.308,Federal
16.308,"Local (includes State-designated lndian Tribes, excludes institutions of higher education and hospitals"
16.602,"State (includes District of Columbia, public institutions of higher education and hospitals)"
16.602,"Local (includes State-designated lndian Tribes, excludes institutions of higher education and hospitals"
16.602,Public nonprofit institution/organization (includes institutions of higher education and hospitals)
16.602,Individual/Family
16.602,"Specialized group (e.g. health professionals, students, veterans)"
16.602,Private nonprofit institution/organization (includes institutions of higher education and hospitals)
16.601,"State (includes District of Columbia, public institutions of higher education and hospitals)"
16.601,"Local (includes State-designated lndian Tribes, excludes institutions of higher education and hospitals"
16.601,Public nonprofit institution/organization (includes institutions of higher education and hospitals)
16.601,Individual/Family
16.601,"Specialized group (e.g. health professionals, students, veterans)"
16.601,Private nonprofit institution/organization (includes institutions of higher education and hospitals)
34.002,"State (includes District of Columbia, public institutions of higher education and hospitals)"
34.002,"Local (includes State-designated lndian Tribes, excludes institutions of higher education and hospitals"
34.002,Public nonprofit institution/organization (includes institutions of higher education and hospitals)
34.002,Non-Government - General
34.002,"Specialized group (e.g. health professionals, students, veterans)"
34.002,Profit organization
34.002,Private nonprofit institution/organization (includes institutions of higher education and hospitals)
16.304,Federal
16.304,"State (includes District of Columbia, public institutions of higher education and hospitals)"
16.710,"State (includes District of Columbia, public institutions of higher education and hospitals)"
16.710,"Local (includes State-designated lndian Tribes, excludes institutions of higher education and hospitals"
16.710,Public nonprofit institution/organization (includes institutions of higher education and hospitals)
16.710,Federally Recognized lndian Tribal Governments
16.710,U.S. Territories and possessions
16.710,U.S. Territories and possessions (includes institutions of higher education and hospitals)
16.710,Profit organization
16.710,Private nonprofit institution/organization (includes institutions of higher education and hospitals)
16.710,"Native American Organizations (includes lndian groups, cooperatives, corporations, partnerships, associations)"
89.001,Anyone/general public
23.011,Public nonprofit institution/organization (includes institutions of higher education and hospitals)
23.011,"Specialized group (e.g. health professionals, students, veterans)"
23.011,Small business (less than 500 employees)
23.011,Profit organization
23.011,Private nonprofit institution/organization (includes institutions of higher education and hospitals)
23.011,Other private institutions/organizations
23.011,Anyone/general public
23.002,"State (includes District of Columbia, public institutions of higher education and hospitals)"
23.002,"Local (includes State-designated lndian Tribes, excludes institutions of higher education and hospitals"
23.002,Private nonprofit institution/organization (includes institutions of higher education and hospitals)
16.307,"State (includes District of Columbia, public institutions of higher education and hospitals)"
16.307,"Local (includes State-designated lndian Tribes, excludes institutions of higher education and hospitals"
23.009,"Local (includes State-designated lndian Tribes, excludes institutions of higher education and hospitals"
16.300,"State (includes District of Columbia, public institutions of higher education and hospitals)"
16.300,"Local (includes State-designated lndian Tribes, excludes institutions of higher education and hospitals"
