data.programNumber,value_beneficiary
93.691,Federal
93.691,State
93.691,Local
93.691,Public nonprofit institution/organization
93.691,Other public institution/organization
93.691,Federally Recognized Indian Tribal Governments
93.691,U.S. Territories
93.691,"Specialized group (e.g. health professionals, students, veterans)"
93.691,Small business
93.691,Profit organization
93.691,Private nonprofit institution/organization
93.691,Quasi-public nonprofit organization
93.691,Other private institution/organization
93.691,Anyone/general public
93.691,Health Professional
85.750,Minority group
85.750,"Specialized group (e.g. health professionals, students, veterans)"
85.750,Small business
85.750,Private nonprofit institution/organization
85.750,Other private institution/organization
85.750,Black
85.750,American Indian
85.750,Other Non-White
85.750,Migrant
85.750,Women
85.750,"Disabled (e.g. Deaf, Blind, Physically Disabled)"
85.750,Mentally Disabled
85.750,Preschool
85.750,School
85.750,Infant (0-5)
85.750,Child (6-15)
85.750,Youth (16-21)
85.750,Senior Citizen (60+)
85.750,Unemployed
85.750,"Major Metropolis (over 250,000)"
85.750,Other Urban
85.750,Rural
85.750,Education (0-8)
85.750,Education (9-12)
85.750,Education (13+)
64.125,Veteran/Service person/Reservist (including dependents
42.011,
98.008,Private nonprofit institution/organization
93.873,Individual/Family
93.873,"Disabled (e.g. Deaf, Blind, Physically Disabled)"
93.831,Federal
93.831,Health Professional
93.831,Sponsored organization
93.831,Public nonprofit institution/organization
93.831,Other public institution/organization
93.893,Federal
93.893,U.S. Territories
93.893,Individual/Family
93.893,Minority group
93.893,"Specialized group (e.g. health professionals, students, veterans)"
93.893,Small business
93.893,Profit organization
93.893,Private nonprofit institution/organization
93.893,Quasi-public nonprofit organization
93.893,Other private institution/organization
93.893,Anyone/general public
93.893,Interstate
93.893,Native American Organizations
93.893,Health Professional
93.893,Education Professional
93.893,Student/Trainee
93.893,Graduate Student
93.893,Scientist/Researchers
93.893,Artist/Humanist
93.893,Engineer/Architect
93.893,Builder/Contractor/Developer
93.893,Farmer/Rancher/Agriculture Producer
93.893,Intrastate
93.893,Industrialist/ Business person
93.893,Small Business Person
93.893,Consumer
93.893,Homeowner
93.893,Land/Property Owner
93.893,Black
93.893,American Indian
93.893,Spanish Origin
93.893,Asian
93.893,Other Non-White
93.893,State
93.893,Migrant
93.893,U.S. Citizen
93.893,Refugee/Alien
93.893,Veteran/Service person/Reservist (including dependents
93.893,Women
93.893,"Disabled (e.g. Deaf, Blind, Physically Disabled)"
93.893,"Physically Afflicted (e.g. TB, Arthritis, Heart Disease)"
93.893,Mentally Disabled
93.893,Drug Addict
93.893,Alcoholic
93.893,Local
93.893,Juvenile Delinquent
93.893,Preschool
93.893,School
93.893,Infant (0-5)
93.893,Child (6-15)
93.893,Youth (16-21)
93.893,Senior Citizen (60+)
93.893,Unemployed
93.893,Welfare Recipient
93.893,Pension Recipient
93.893,Sponsored organization
93.893,Moderate Income
93.893,Low Income
93.893,"Major Metropolis (over 250,000)"
93.893,Other Urban
93.893,Suburban
93.893,Rural
93.893,Education (0-8)
93.893,Education (9-12)
93.893,Education (13+)
93.893,Public nonprofit institution/organization
93.893,Other public institution/organization
93.893,Federally Recognized Indian Tribal Governments
64.127,Veteran/Service person/Reservist (including dependents
64.130,
98.003,Profit organization
10.868,Individual/Family
10.868,Small business
10.868,Anyone/general public
10.868,Farmer/Rancher/Agriculture Producer
10.868,Small Business Person
10.559,Private nonprofit institution/organization
10.559,Public nonprofit institution/organization
93.071,Individual/Family
93.071,Minority group
93.071,"Disabled (e.g. Deaf, Blind, Physically Disabled)"
93.071,"Physically Afflicted (e.g. TB, Arthritis, Heart Disease)"
93.071,Mentally Disabled
93.071,Low Income
16.590,"Specialized group (e.g. health professionals, students, veterans)"
16.590,Sponsored organization
16.590,Public nonprofit institution/organization
16.590,Other public institution/organization
16.590,Federally Recognized Indian Tribal Governments
16.888,State
16.888,Local
12.340,Profit organization
12.340,Private nonprofit institution/organization
12.340,Quasi-public nonprofit organization
12.340,Public nonprofit institution/organization
12.340,Other public institution/organization
42.014,
93.346,
93.493,
93.367,State
16.556,Private nonprofit institution/organization
10.532,"Specialized group (e.g. health professionals, students, veterans)"
93.959,U.S. Territories
93.959,Native American Organizations
93.959,State
93.959,Federally Recognized Indian Tribal Governments
10.754,
93.053,"Disabled (e.g. Deaf, Blind, Physically Disabled)"
93.053,"Physically Afflicted (e.g. TB, Arthritis, Heart Disease)"
93.053,Mentally Disabled
93.053,Senior Citizen (60+)
10.767,Individual/Family
10.767,Profit organization
10.767,Private nonprofit institution/organization
10.767,Public nonprofit institution/organization
93.345,
42.010,
93.078,U.S. Territories
93.078,"Specialized group (e.g. health professionals, students, veterans)"
93.078,Other private institution/organization
93.078,Native American Organizations
93.078,Scientist/Researchers
93.078,State
93.078,Local
93.078,Public nonprofit institution/organization
93.078,Other public institution/organization
93.078,Federally Recognized Indian Tribal Governments
93.632,Individual/Family
93.632,"Disabled (e.g. Deaf, Blind, Physically Disabled)"
93.632,Mentally Disabled
93.632,Public nonprofit institution/organization
32.010,
93.761,Individual/Family
10.384,Local
10.384,Federally Recognized Indian Tribal Governments
10.384,Small business
10.384,Native American Organizations
10.384,Farmer/Rancher/Agriculture Producer
10.384,Consumer
10.384,American Indian
93.051,Individual/Family
93.051,Health Professional
93.051,"Physically Afflicted (e.g. TB, Arthritis, Heart Disease)"
12.013,Education (13+)
12.013,Women
12.013,"Disabled (e.g. Deaf, Blind, Physically Disabled)"
12.013,U.S. Citizen
12.013,Veteran/Service person/Reservist (including dependents
12.013,Other Non-White
12.013,Asian
12.013,Spanish Origin
12.013,American Indian
12.013,Black
12.013,Student/Trainee
93.044,Senior Citizen (60+)
93.044,Low Income
17.791,Education Professional
17.791,Student/Trainee
17.791,Graduate Student
17.791,Scientist/Researchers
15.437,State
15.435,State
15.438,State
15.439,State
15.440,State
15.682,Individual/Family
15.682,Anyone/general public
10.223,Minority group
10.223,Graduate Student
10.223,Spanish Origin
10.223,State
10.223,Public nonprofit institution/organization
10.223,Other public institution/organization
10.311,Profit organization
10.311,Private nonprofit institution/organization
10.311,Quasi-public nonprofit organization
10.311,State
10.311,Local
10.311,Sponsored organization
10.311,Public nonprofit institution/organization
10.311,Other public institution/organization
10.311,Federally Recognized Indian Tribal Governments
15.680,
15.683,
10.329,Other private institution/organization
10.329,Public nonprofit institution/organization
10.329,Other public institution/organization
10.212,Small business
15.430,State
15.981,Private nonprofit institution/organization
15.981,State
15.981,Federally Recognized Indian Tribal Governments
97.005,State
97.005,Local
97.005,Public nonprofit institution/organization
97.005,Federally Recognized Indian Tribal Governments
97.107,U.S. Territories
97.107,Private nonprofit institution/organization
97.107,State
97.107,Local
97.107,Public nonprofit institution/organization
97.107,Other public institution/organization
97.107,Federally Recognized Indian Tribal Governments
97.040,Anyone/general public
97.040,State
97.040,Local
97.131,U.S. Territories
97.131,Private nonprofit institution/organization
97.131,State
97.034,Individual/Family
97.088,Individual/Family
97.088,Profit organization
97.088,Private nonprofit institution/organization
97.088,State
97.088,Local
97.088,Public nonprofit institution/organization
97.088,Other public institution/organization
97.088,Federally Recognized Indian Tribal Governments
97.050,Individual/Family
97.048,Individual/Family
97.048,Local
97.046,State
97.046,Federally Recognized Indian Tribal Governments
97.061,"Specialized group (e.g. health professionals, students, veterans)"
97.061,Private nonprofit institution/organization
97.061,Public nonprofit institution/organization
97.033,Individual/Family
97.024,Anyone/general public
97.024,Public nonprofit institution/organization
97.024,Other public institution/organization
97.025,Private nonprofit institution/organization
97.025,State
97.025,Local
97.030,Local
97.123,U.S. Territories
97.123,State
97.123,Local
97.123,Federally Recognized Indian Tribal Governments
97.032,Individual/Family
15.670,Federal
15.670,Individual/Family
15.670,Profit organization
15.670,Private nonprofit institution/organization
15.670,Anyone/general public
15.670,Interstate
15.670,Land/Property Owner
15.670,State
15.670,Local
15.670,Public nonprofit institution/organization
15.670,Federally Recognized Indian Tribal Governments
15.434,State
15.808,Anyone/general public
15.808,Scientist/Researchers
15.808,Engineer/Architect
15.669,Federal
15.669,Individual/Family
15.669,Profit organization
15.669,Private nonprofit institution/organization
15.669,Anyone/general public
15.669,Interstate
15.669,Land/Property Owner
15.669,State
15.669,Local
15.669,Public nonprofit institution/organization
15.669,Federally Recognized Indian Tribal Governments
15.679,
97.128,Public nonprofit institution/organization
97.120,Public nonprofit institution/organization
97.076,Anyone/general public
93.696,
10.231,Minority group
10.231,Education Professional
10.231,Other public institution/organization
12.617,U.S. Territories
12.617,Interstate
12.617,Intrastate
12.617,State
12.617,Local
12.617,Federally Recognized Indian Tribal Governments
10.874,Individual/Family
10.874,Black
10.874,American Indian
10.874,Spanish Origin
10.874,Asian
10.874,Other Non-White
10.874,U.S. Citizen
10.874,Veteran/Service person/Reservist (including dependents
10.874,Women
10.874,"Disabled (e.g. Deaf, Blind, Physically Disabled)"
10.874,"Physically Afflicted (e.g. TB, Arthritis, Heart Disease)"
10.874,Mentally Disabled
10.874,Rural
15.427,State
15.427,Federally Recognized Indian Tribal Governments
15.508,Individual/Family
15.508,Small business
15.508,Profit organization
15.508,Private nonprofit institution/organization
15.508,Quasi-public nonprofit organization
15.508,Other private institution/organization
15.508,Anyone/general public
15.508,Native American Organizations
15.508,State
15.508,Local
15.508,Public nonprofit institution/organization
15.508,Other public institution/organization
15.508,Federally Recognized Indian Tribal Governments
15.516,"Specialized group (e.g. health professionals, students, veterans)"
15.516,State
