data.programNumber,value_assistanceUsage
16.305,"Law, Justice, and Legal Services"
90.601,Economic Development
90.601,Employment/Labor/Management
90.601,Energy
90.601,"Environment (water, air, solid waste, pesticides, radiation)"
90.601,Food and Nutrition
90.601,Health/Medical
90.601,Higher Education (includes Research)
90.601,Agriculture/Forestry/Fish and Game
90.601,"Natural Resources (mineral, water, wildlife, land)"
90.601,Planning
90.601,Public Works
90.601,Recreation (includes Historic Preservation)
90.601,Regional Development
90.601,Business/Commerce
90.601,Transportation
90.601,Training
90.601,Vocational Education
90.601,Communications
90.601,Community Development (includes Federal surplus property)
90.601,Construction/Renewal/Rehabilitation
90.601,Culture/Arts/Humanities
16.303,"Law, Justice, and Legal Services"
16.303,Training
90.199,No Functional Application/Unlimited Application
16.308,"Law, Justice, and Legal Services"
16.308,Training
16.602,Higher Education (includes Research)
16.602,"Law, Justice, and Legal Services"
16.602,Training
16.601,"Law, Justice, and Legal Services"
34.002,Economic Development
34.002,Elementary/Secondary Education
34.002,Employment/Labor/Management
34.002,Energy
34.002,Health/Medical
34.002,Higher Education (includes Research)
34.002,Regional Development
34.002,Business/Commerce
34.002,Training
34.002,Construction/Renewal/Rehabilitation
16.304,"Law, Justice, and Legal Services"
16.710,"Law, Justice, and Legal Services"
89.001,Libraries/lnformation/Statistics
23.011,Economic Development
23.002,Economic Development
23.002,Elementary/Secondary Education
23.002,Employment/Labor/Management
23.002,Energy
23.002,"Environment (water, air, solid waste, pesticides, radiation)"
23.002,Health/Medical
23.002,Higher Education (includes Research)
23.002,Housing
23.002,International (includes Export/lmport)
23.002,Planning
23.002,Public Works
23.002,Recreation (includes Historic Preservation)
23.002,Regional Development
23.002,Science and Technology
23.002,Transportation
23.002,Training
23.002,Youth Development
23.002,Vocational Education
23.002,Vocational Rehabilitation
23.002,Community Development (includes Federal surplus property)
23.002,Construction/Renewal/Rehabilitation
23.002,Culture/Arts/Humanities
16.307,"Law, Justice, and Legal Services"
23.009,Economic Development
23.009,Planning
16.300,"Law, Justice, and Legal Services"
16.300,Training
90.300,Higher Education (includes Research)
90.300,International (includes Export/lmport)
90.300,Libraries/lnformation/Statistics
90.300,Training
90.300,Culture/Arts/Humanities
90.100,Economic Development
90.100,Energy
90.100,"Environment (water, air, solid waste, pesticides, radiation)"
90.100,Health/Medical
90.100,Housing
90.100,Transportation
90.100,Training
90.500,Communications
16.922,"Law, Justice, and Legal Services"
89.003,Libraries/lnformation/Statistics
89.003,Recreation (includes Historic Preservation)
31.007,No Functional Application/Unlimited Application
23.003,Economic Development
23.003,Transportation
23.001,Economic Development
23.001,Elementary/Secondary Education
23.001,Employment/Labor/Management
23.001,Energy
