data.title,data.objective,data.programNumber,data.organizationId,data.description,l1ShortName,l1Name,l2Name
Law Enforcement Assistance Uniform Crime Reports,"To furnish data which will assist heads of law enforcement agencies in administration and operation of their departments. Further, to make information/data available to judges, penologists, sociologists, legislators, media, students, and others interested in crime and its social aspects.",16.305,100500172,,DOJ,"JUSTICE, DEPARTMENT OF",FEDERAL BUREAU OF INVESTIGATION
Northern Border Regional Development,"The Northern Border Regional Commission is a Federal-State governmental agency concerned with the economic well-being of the citizens, businesses, and communities within a thirty-six (36) county region of Maine, New Hampshire, New York, and Vermont. (12 counties in Maine, 4 counties in New Hampshire, 14 counties in New York, and six counties in Vermont). The region has had chronic and continuous long-term economic distress.  The NBRC partnership is made up of a Federal Co-Chair and the Governors of the four participating States. ",90.601,300000074,,,NORTHERN BORDER REGIONAL COMMISSION,
Law Enforcement Assistance FBI Fingerprint Identification,"To provide fingerprint and arrest-record services to U.S. Government and criminal justice agencies; and to provide arrest- record services to State and local governmental authorities, as well as certain authorized nongovernmental entities for employment and licensing purposes.",16.303,100500172,,DOJ,"JUSTICE, DEPARTMENT OF",FEDERAL BUREAU OF INVESTIGATION
Shared Services,Delivery of services of the federal government in the most cost-effective manner by reducing administrative and overhead costs. ,90.199,100114164,,DC,DENALI COMMISSION,
Indian Country Investigations,To provide training to the Bureau of Indian Affairs (BIA) and Tribal Law Enforcement Officers in conjunction with the Bureau of Indian Affairs Office of Justice Services to better conduct investigations in Indian Country. Coordination of the development of training curriculum with the BIA; and conduct training seminars in law enforcement techniques throughout the country.  To coordinate investigative activities within Indian Country.,16.308,100500172,,DOJ,"JUSTICE, DEPARTMENT OF",FEDERAL BUREAU OF INVESTIGATION
Corrections Research and Evaluation and Policy Formulation,"To conduct, encourage, and coordinate research relating to corrections including the causes, prevention, diagnosis, and treatment of criminal offenders.  To conduct evaluation programs which study the effectiveness of new approaches, techniques, systems, programs, and devices employed to improve the corrections system.",16.602,100015299,,DOJ,"JUSTICE, DEPARTMENT OF",FEDERAL PRISON SYSTEM / BUREAU OF PRISONS
Corrections Training and Staff Development,"To devise and conduct in various geographical locations, seminars, workshops, and training programs for law enforcement officers, judges and judicial personnel, probation and parole personnel, correctional personnel, welfare workers and other personnel, including lay ex-offenders and paraprofessionals, connected with the treatment and rehabilitation of criminal and juvenile offenders.  To develop technical training teams to aid in the development of seminars, workshops, and training programs within the several States and with the State and local agencies which work with prisoners, parolees, probationers, and other offenders.",16.601,100015299,,DOJ,"JUSTICE, DEPARTMENT OF",FEDERAL PRISON SYSTEM / BUREAU OF PRISONS
Labor Management Cooperation,"The FMCS Grants Office provides federal grants to support the establishment and operation of plant-level, area-wide, industry or sectoral joint labor-management committees confronting specific, definable problems for which they have developed clear, innovative, and measurable long-term solutions.",34.002,100136900,,FMCS,FEDERAL MEDIATION AND CONCILIATION SERVICE,
Law Enforcement Assistance National Crime Information Center,The FBI National Crime Information Center (NCIC) is designed to complement the development of similar metropolitan and statewide criminal justice information systems and provide a computerized central index to documented files of local and State criminal justice agencies.,16.304,100500172,,DOJ,"JUSTICE, DEPARTMENT OF",FEDERAL BUREAU OF INVESTIGATION
Public Safety Partnership and Community Policing Grants,"The COPS Office was established in 1994 to assist state, local and tribal law enforcement agencies in enhancing effectiveness and building the capacity to advance public safety through the implementation of community policing strategies.  Community policing entails developing partnerships between law enforcement agencies and the communities they serve so they can work collaboratively to resolve problems and build community trust.  It is a philosophy that promotes organizational strategies that support the systematic use of partnerships and problem solving techniques, in order to proactively address the immediate conditions that give rise to public safety issues such as crime, social disorder, fear of crime, and satisfaction with police services. Community policing is comprised of three key components:

Community Partnerships
Collaborative partnerships between the law enforcement agency and the individuals and organizations they serve to develop solutions to problems and increase trust in police: 

•	Other government agencies 
•	Community members/groups 
•	Nonprofits/service providers 
•	Private businesses 
•	Media	

Organizational Transformation
The alignment of organizational management, structure, personnel, and information systems to support community partnerships and proactive problem solving:
      
•	Agency management 
•	Climate and culture 
•	Leadership 
•	Labor relations 
•	Decision-making 
•	Strategic planning 
•	Policies 
•	Organizational evaluations 
•	Transparency 
•	Organizational structure
•	Geographic assignment of officers 
•	Despecialization 
•	Resources and finances
•	Personnel 
•	Recruitment, hiring, and selection 
•	Personnel supervision/evaluations 
•	Training
•	Information systems (Technology) 
•	Communication/access to data 
•	Quality and accuracy of data

Problem Solving
The process of engaging in the proactive and systematic examination of identified problems to develop and rigorously evaluate effective responses:

•	Scan: Identify and prioritize problems 
•	Analysis: Research what is known about the problem 
•	Response: Develop solutions to bring about lasting reductions in the number        and                extent of problems 
•	Assessment: Evaluate the success of the responses 
•	Use the crime triangle to focus on immediate conditions (victim/offender/location)
",16.710,100125930,,DOJ,"JUSTICE, DEPARTMENT OF","OFFICES, BOARDS AND DIVISIONS"
National Archives Reference Services Historical Research,"Objectives:  To provide professional reference service to members of the general public and employees of the Federal government who are conducting research in Federal records or in historical materials in Presidential Libraries; provide advice and information to the public through conferences, workshops and other outreach activities on the availability and use of Federal records and publications in NARA's custody.   ",89.001,100076449,,NARA,NATIONAL ARCHIVES AND RECORDS ADMINISTRATION,
"Appalachian Research, Technical Assistance, and Demonstration Projects","To expand the knowledge of the region to the fullest extent possible by means of research (including investigations, studies, technical assistance and demonstration projects) in order to assist the Commission in accomplishing the objectives of the Act, and implementation of the ARC strategic plan.",23.011,100500155,,,APPALACHIAN REGIONAL COMMISSION,
Appalachian Area Development,"To help the regional economy become more competitive by putting in place the building blocks for self-sustaining economic development, while continuing to provide special assistance to the Region's most distressed counties and areas. This program focuses on activities which support ARC's mission to innovate, partner, and invest to build community capacity and strengthen economic growth in Appalachia. Activities funded must advance ARC's strategic plan.  Specific program goals are: (1) Invest in entrepreneurial and business development strategies that strengthen Appalachia's economy; (2) Increase the education, knowledge, skills, and health of residents to work and succeed in Appalachia; (3) Invest in critical infrastructure—especially broadband; transportation, including the Appalachian Development Highway System; and water/wastewater systems; (4) Strengthen Appalachia's community and economic development potential by leveraging the Region's natural and cultural heritage assets; and (5) Build the capacity and skills of current and next-generation leaders and organizations to innovate, collaborate, and advance community and economic development.Specific objectives were developed for each goal. Grants are made either directly by the Commission or grants may supplement other Federal grants.",23.002,100500155,,,APPALACHIAN REGIONAL COMMISSION,
Combined DNA Index System,To develop or improve forensic DNA analysis capabilities in State and local crime laboratories. The Combined DNA Index Systems (CODIS) allows State and local crime laboratories to store and match DNA records.,16.307,100500172,,DOJ,"JUSTICE, DEPARTMENT OF",FEDERAL BUREAU OF INVESTIGATION
