data.programNumber,data.financial.obligations.values.year,data.financial.obligations.values.estimate,data.financial.obligations.values.actual
,,sum,sum
10.001,2016.0,630000000.0,816873930.0
10.001,2017.0,630000000.0,816873930.0
10.001,2018.0,630000000.0,112883724.0
10.001,2019.0,84672810.0,84672810.0
10.001,2020.0,119111688.0,163609434.0
10.001,2021.0,126000000.0,167377734.0
10.001,2022.0,167712480.0,0.0
10.001,2023.0,168381990.0,0.0
10.025,2021.0,0.0,324938323584.0
10.025,2022.0,423833592960.0,0.0
10.025,2023.0,334418875776.0,0.0
10.028,2021.0,0.0,2957671080.0
10.028,2022.0,2994247760.0,0.0
10.028,2023.0,3024260400.0,0.0
10.030,2020.0,0.0,21375161.0
10.030,2021.0,5107724.0,4441997.0
10.030,2022.0,267114667.0,0.0
10.030,2023.0,99150936.0,0.0
10.051,2016.0,81084828000.0,81278370816.0
10.051,2017.0,83528504808.0,83528504808.0
10.051,2018.0,99809742000.0,37748184000.0
10.051,2019.0,38871708000.0,38871708000.0
10.051,2020.0,38697372000.0,48743112000.0
10.051,2021.0,51659196000.0,76574447988.0
10.051,2022.0,75619116000.0,0.0
10.051,2023.0,88515168000.0,0.0
10.053,2016.0,32533984000.0,18077920.0
10.053,2017.0,52136000.0,25125408.0
10.053,2018.0,52304000.0,19376000.0
10.053,2019.0,385240352.0,463344000.0
10.053,2020.0,579712000.0,634032000.0
10.053,2021.0,855489600.0,907200000.0
10.053,2022.0,56000000.0,0.0
10.053,2023.0,56000000.0,0.0
10.054,2016.0,5544000000.0,5112000000.0
10.054,2017.0,6480000000.0,7510464000.0
10.054,2018.0,14400000000.0,12705192000.0
10.054,2019.0,18720000000.0,18720000000.0
10.054,2020.0,14400000000.0,19226952000.0
10.054,2021.0,14400000000.0,8907264000.0
10.054,2022.0,14400000000.0,0.0
10.054,2023.0,7200000000.0,0.0
10.056,2016.0,5760000000.0,0.0
10.056,2017.0,9888000000.0,9872000000.0
10.056,2018.0,9872000000.0,7870464000.0
10.056,2019.0,9872000000.0,7548224000.0
10.056,2020.0,9872000000.0,13120000000.0
10.056,2021.0,12800000000.0,14489600000.0
10.056,2022.0,15494400000.0,0.0
10.056,2023.0,14992000000.0,0.0
10.069,2016.0,220307400000.0,254400000000.0
10.069,2017.0,255960000000.0,225821400000.0
10.069,2018.0,255337560000.0,234369960000.0
10.069,2019.0,250379520000.0,228207120000.0
10.069,2020.0,245291280000.0,222466320.0
10.069,2021.0,246753840.0,250800000000.0
10.069,2022.0,257488200000.0,0.0
10.069,2023.0,297174480000.0,0.0
10.072,2016.0,145107000000.0,48893400000.0
10.072,2017.0,149553900000.0,114551100000.0
10.072,2018.0,158799600000.0,137676600000.0
10.072,2019.0,27900000000.0,25507800000.0
10.072,2020.0,18707400000.0,7795800000.0
10.072,2021.0,14477400000.0,12020400000.0
10.072,2022.0,8640900000.0,0.0
10.072,2023.0,1178100000.0,0.0
10.087,2016.0,194868000.0,18000000.0
10.087,2017.0,18000000.0,18000000.0
10.087,2018.0,0.0,7848000.0
10.087,2019.0,0.0,0.0
10.087,2020.0,0.0,0.0
10.087,2021.0,0.0,330000.0
10.087,2022.0,348000.0,0.0
10.087,2023.0,348000.0,0.0
10.089,2012.0,2376000000.0,944557896.0
10.089,2013.0,0.0,0.0
10.089,2014.0,0.0,0.0
10.089,2019.0,0.0,0.0
10.089,2020.0,0.0,0.0
10.089,2021.0,0.0,0.0
10.089,2022.0,0.0,0.0
10.089,2023.0,0.0,0.0
10.093,2016.0,36000.0,0.0
10.093,2017.0,0.0,0.0
10.093,2018.0,36000.0,0.0
10.093,2019.0,20000000.0,500000.0
10.093,2020.0,28000000.0,99048000.0
10.093,2021.0,1096000.0,324000.0
10.093,2022.0,3316000.0,0.0
10.093,2023.0,234000.0,0.0
10.098,2016.0,5988000.0,5714865.0
10.098,2017.0,5988000.0,5988000.0
10.098,2018.0,5988000.0,5988000.0
10.098,2019.0,5988000.0,5988000.0
10.098,2020.0,6000000.0,6000000.0
10.098,2021.0,6000000.0,6000000.0
10.098,2022.0,9000000.0,0.0
10.098,2023.0,9000000.0,0.0
10.099,2015.0,5400000000.0,48780000.0
10.099,2016.0,5400000000.0,0.0
10.099,2017.0,5400000000.0,0.0
10.099,2018.0,5400000000.0,5400000000.0
10.099,2019.0,5400000000.0,0.0
10.099,2020.0,5400000000.0,5400000000.0
10.099,2021.0,5400000000.0,5400000000.0
10.099,2022.0,5400000000.0,0.0
10.099,2023.0,5400000000.0,0.0
10.102,2016.0,896000000.0,84000000.0
10.102,2017.0,672000000.0,150696000.0
10.102,2018.0,420000000.0,356300000.0
10.102,2019.0,420000000.0,51436000.0
10.102,2020.0,9800000000.0,1905652000.0
10.102,2021.0,2800000000.0,2800000000.0
10.102,2022.0,2800000000.0,0.0
10.102,2023.0,0.0,0.0
10.108,2016.0,1469445000.0,645000000.0
10.108,2017.0,510000000.0,375990000.0
10.108,2018.0,460065000.0,549225000.0
10.108,2019.0,446685000.0,748800000.0
10.108,2020.0,494670000.0,918285000.0
10.108,2021.0,760215000.0,245310000.0
10.108,2022.0,530640000.0,0.0
10.108,2023.0,529080000.0,0.0
10.109,2016.0,8470416000.0,5160000000.0
10.109,2017.0,3744000000.0,4208508000.0
10.109,2018.0,4722600000.0,5849460000.0
10.109,2019.0,9617016000.0,3455172000.0
10.109,2020.0,5907828000.0,1923648000.0
10.109,2021.0,2843268000.0,6522960000.0
10.109,2022.0,19822128000.0,0.0
10.109,2023.0,4631124000.0,0.0
10.110,2016.0,445842000.0,306000000.0
10.110,2017.0,306000000.0,328014000.0
10.110,2018.0,351000000.0,847152000.0
10.110,2019.0,669690000.0,829746000.0
10.110,2020.0,784368000.0,1087578000.0
10.110,2021.0,1042920000.0,1373561982.0
10.110,2022.0,3799673982.0,0.0
10.110,2023.0,3420000000.0,0.0
10.111,2016.0,87744000.0,180000000.0
10.111,2017.0,126000000.0,41472000.0
10.111,2018.0,120000000.0,67602000.0
10.111,2019.0,185262000.0,92610000.0
10.111,2020.0,192834000.0,325524000.0
10.111,2021.0,54882000.0,56712000.0
10.111,2022.0,46877994.0,0.0
10.111,2023.0,41604000.0,0.0
10.112,2016.0,100551000000.0,192753000000.0
10.112,2017.0,100716000000.0,64437450000.0
