al_#,GWO ID
10.001,GWO.A1
10.028,GWO.A1
10.030,GWO.A3
10.031,GWO.A2
10.047,GWO.K1
10.048,GWO.A3
10.049,GWO.H7
10.051,GWO.A3
10.053,GWO.A3
10.054,GWO.Q3
10.056,GWO.B1
10.069,GWO.Q1
10.072,GWO.Q4
10.087,GWO.I2
10.089,GWO.A3
10.093,GWO.Q6
10.096,GWO.A3
10.097,GWO.Q4
10.098,GWO.A3
10.099,GWO.B1
10.102,GWO.Q3
10.107,GWO.A3
10.108,GWO.A3
10.109,GWO.A3
10.110,GWO.A3
10.111,GWO.A3
10.112,GWO.A3
10.113,GWO.A3
10.116,GWO.A3
10.120,GWO.A3
10.121,GWO.A3
10.123,GWO.A3
10.125,GWO.J3
10.126,GWO.A3
10.127,GWO.A3
10.128,GWO.B1
10.129,GWO.A3
10.130,GWO.A3
10.131,GWO.A3
10.132,GWO.A3
10.133,GWO.A3
10.134,GWO.A3
10.135,GWO.A3
10.139,GWO.A3
10.142,GWO.A3
10.143,GWO.A3
10.144,GWO.A3
10.146,GWO.B2
10.147,GWO.B2
10.148,GWO.A3
10.153,GWO.B3
10.155,GWO.B3
10.156,GWO.B3
10.162,GWO.B3
10.163,GWO.B3
10.164,GWO.B3
10.165,GWO.B4
10.167,GWO.B3
10.170,GWO.B3
10.171,GWO.A3
10.173,GWO.B3
10.174,GWO.B3
10.175,GWO.B3
10.176,GWO.B3
10.177,GWO.B3
10.179,GWO.B3
10.180,GWO.B3
10.181,GWO.F3
10.182,GWO.K2
10.184,GWO.A3
10.185,GWO.K2
10.186,GWO.K1
10.187,GWO.K3
10.188,GWO.K1
10.189,GWO.K1
10.190,GWO.K1
10.191,GWO.A3
10.192,GWO.B3
10.193,GWO.K1
10.194,GWO.K1
10.195,GWO.B3
10.196,GWO.K1
10.200,GWO.A1
10.202,GWO.J1
10.203,GWO.A1
10.205,GWO.A1
10.207,GWO.A1
10.210,GWO.G8
10.212,GWO.H2
10.215,GWO.A2
10.216,GWO.G4
10.217,GWO.G4
10.219,GWO.G13
10.220,GWO.A1
10.221,GWO.G13
10.222,GWO.G13
10.223,GWO.G13
10.225,GWO.K2
10.226,GWO.G9
10.227,GWO.G10
10.228,GWO.H7
10.229,GWO.F3
10.230,GWO.A1
10.232,GWO.A3
10.233,GWO.A1
10.234,GWO.A3
10.236,GWO.B5
10.237,GWO.G9
10.238,GWO.A1
10.239,GWO.C1
10.241,GWO.A1
10.243,GWO.C1
10.244,GWO.K3
10.245,GWO.A1
10.246,GWO.G3
10.247,GWO.A1
10.248,GWO.A1
10.249,GWO.A1
10.250,GWO.A1
10.253,GWO.A1
10.255,GWO.A1
10.271,GWO.A1
10.272,GWO.A1
10.273,GWO.J1
10.274,GWO.A1
10.275,GWO.ND3
10.277,GWO.ND3
10.278,GWO.G5
10.279,GWO.G4
10.280,GWO.L4
10.281,GWO.ND3
10.282,GWO.ND3
10.284,GWO.ND3
10.286,GWO.G1
10.287,GWO.ND3
10.288,GWO.ND3
10.289,GWO.ND3
10.290,GWO.A1
10.291,GWO.A1
10.292,GWO.A1
10.303,GWO.A1
10.304,GWO.K1
10.305,GWO.A1
10.307,GWO.A1
10.308,GWO.G9
10.309,GWO.G11
10.310,GWO.A1
10.311,GWO.A3
10.312,GWO.C1
10.313,GWO.G7
10.318,GWO.G11
10.319,GWO.A3
10.320,GWO.H7
10.322,GWO.G8
10.326,GWO.G11
10.328,GWO.D2
10.329,GWO.H7
10.330,GWO.A1
10.331,GWO.K3
10.332,GWO.A1
10.333,GWO.A1
10.334,GWO.H7
10.336,GWO.H6
10.337,GWO.G1
10.338,GWO.L2
10.339,GWO.A2
10.342,GWO.A2
10.343,GWO.A1
10.350,GWO.H7
10.351,GWO.C1
10.352,GWO.A3
10.376,GWO.B3
10.377,GWO.A3
10.378,GWO.I2
10.380,GWO.K1
10.381,GWO.K1
10.382,GWO.K1
10.383,GWO.A3
10.384,GWO.K1
10.385,GWO.Q3
10.404,GWO.B1
10.405,GWO.M2
10.406,GWO.B1
10.407,GWO.B1
10.410,GWO.M3
10.411,GWO.M2
10.415,GWO.M2
10.417,GWO.M4
10.420,GWO.M3
10.421,GWO.B1
10.427,GWO.M2
10.433,GWO.M4
10.435,GWO.P6
10.438,GWO.M2
10.443,GWO.A3
10.444,GWO.F1
10.446,GWO.C1
10.447,GWO.M4
10.448,GWO.M2
10.449,GWO.B1
10.450,GWO.F2
10.451,GWO.A3
10.460,GWO.A2
10.464,GWO.A3
10.466,GWO.H7
10.467,GWO.H5
10.475,GWO.D2
10.477,GWO.D2
10.479,GWO.D2
10.490,GWO.M2
10.494,GWO.M2
10.495,GWO.M2
10.500,GWO.F2
10.511,GWO.F2
10.512,GWO.A3
10.513,GWO.H7
10.514,GWO.K3
10.515,GWO.Q3
10.516,GWO.L21
10.517,GWO.A3
10.518,GWO.L21
10.519,GWO.H2
10.520,GWO.A3
10.521,GWO.H5
10.522,GWO.K3
10.523,GWO.A3
10.524,GWO.G7
10.525,GWO.L6
10.527,GWO.G8
10.529,GWO.K3
10.531,GWO.A2
10.532,GWO.G3
10.533,GWO.K3
10.535,GWO.K3
10.537,GWO.S1
10.539,GWO.K3
10.540,GWO.L5
10.541,GWO.K3
10.545,GWO.K2
10.551,GWO.K3
10.553,GWO.K3
10.555,GWO.K3
10.556,GWO.K3
10.557,GWO.K3
10.558,GWO.K3
10.559,GWO.K3
10.560,GWO.K3
10.561,GWO.K3
10.565,GWO.K3
10.566,GWO.K3
10.567,GWO.K3
10.568,GWO.K2
10.569,GWO.K3
10.572,GWO.K3
10.574,GWO.G3
10.575,GWO.K1
10.576,GWO.K3
10.577,GWO.S1
10.578,GWO.K3
10.579,GWO.G3
10.580,GWO.K3
10.582,GWO.K3
10.585,GWO.D2
10.587,GWO.S1
10.593,GWO.H7
10.594,GWO.K3
10.600,GWO.A3
10.601,GWO.B3
10.603,GWO.B3
10.604,GWO.B3
10.605,GWO.B3
10.606,GWO.B3
10.608,GWO.K3
10.610,GWO.B3
10.612,GWO.B3
10.613,GWO.IA2
10.615,GWO.A3
10.616,GWO.A3
10.617,GWO.IA5
10.618,GWO.A3
10.619,GWO.B3
10.620,GWO.IA5
10.621,GWO.S1
10.624,GWO.A3
10.645,GWO.K1
10.646,GWO.K3
10.652,GWO.J1
10.664,GWO.Q3
10.665,GWO.Q6
10.666,GWO.Q6
10.674,GWO.B5
10.675,GWO.Q3
10.676,GWO.Q1
10.678,GWO.Q3
10.679,GWO.Q3
10.680,GWO.Q3
10.681,GWO.B5
10.682,GWO.Q3
10.683,GWO.Q2
10.684,GWO.Q3
10.689,GWO.Q1
10.690,GWO.J2
10.691,GWO.Q6
10.693,GWO.Q4
10.694,GWO.Q5
10.697,GWO.Q5
10.698,GWO.Q5
10.699,GWO.Q3
10.700,GWO.A1
10.701,GWO.Q3
10.702,GWO.Q2
10.703,GWO.Q5
10.704,GWO.P2
10.705,GWO.T3
10.706,GWO.Q6
10.707,GWO.J1
10.708,GWO.I2
10.709,GWO.Q3
10.711,GWO.C1
10.712,GWO.Q6
10.714,GWO.J1
10.715,GWO.Q5
10.716,GWO.Q5
10.717,GWO.Q5
10.718,GWO.Q5
10.719,GWO.I2
10.720,GWO.Q5
10.721,GWO.Q4
10.723,GWO.Q3
10.724,GWO.Q5
10.725,GWO.B2
10.726,GWO.C1
10.727,GWO.Q3
10.728,GWO.J3
10.729,GWO.Q3
10.730,GWO.Q3
10.731,GWO.Q3
10.732,GWO.Q5
10.733,GWO.Q3
10.734,GWO.Q3
10.735,GWO.Q3
10.736,GWO.Q3
10.738,GWO.Q3
10.739,GWO.Q3
10.740,GWO.Q3
10.751,GWO.I4
10.752,GWO.C2
10.754,GWO.I2
10.755,GWO.B6
10.757,GWO.I2
10.758,GWO.I4
10.759,GWO.L7
10.760,GWO.L7
10.761,GWO.L7
10.762,GWO.L8
10.763,GWO.L9
10.766,GWO.C1
10.767,GWO.B1
10.768,GWO.B1
10.770,GWO.L7
10.771,GWO.A3
10.777,GWO.C1
10.782,GWO.S1
10.850,GWO.I4
10.851,GWO.C2
10.854,GWO.B6
10.855,GWO.C2
10.858,GWO.I1
10.859,GWO.I1
10.860,GWO.B1
10.862,GWO.L7
10.863,GWO.C2
10.864,GWO.L7
10.865,GWO.I2
10.867,GWO.I2
10.868,GWO.I4
10.870,GWO.B1
10.871,GWO.C1
10.872,GWO.K2
10.874,GWO.L20
10.886,GWO.C2
10.890,GWO.K1
10.902,GWO.Q3
10.903,GWO.Q3
10.904,GWO.Q4
10.905,GWO.Q3
10.907,GWO.Q4
10.912,GWO.Q4
10.913,GWO.A2
10.914,GWO.Q2
10.916,GWO.Q4
10.917,GWO.Q4
10.920,GWO.Q3
10.922,GWO.Q3
10.923,GWO.F1
10.924,GWO.Q3
10.927,GWO.F1
10.928,GWO.Q4
10.929,GWO.Q4
10.930,GWO.J2
10.931,GWO.A2
10.932,GWO.Q2
10.933,GWO.Q4
10.934,GWO.Q1
10.935,GWO.A2
10.936,GWO.A2
10.937,GWO.A2
10.938,GWO.G9
10.939,GWO.A2
10.940,GWO.A3
10.941,GWO.Q2
10.942,GWO.A2
10.943,GWO.Q3
10.944,GWO.Q1
10.945,GWO.Q1
10.950,GWO.A1
10.951,GWO.A1
10.960,GWO.A1
10.961,GWO.S1
10.962,GWO.IA5
10.964,GWO.A3
10.965,GWO.A3
10.967,GWO.A3
10.968,GWO.B1
10.969,GWO.Q1
10.970,GWO.B1
10.971,GWO.B1
10.972,GWO.A3
10.973,GWO.F1
10.976,GWO.A3
10.977,GWO.A3
10.978,GWO.A3
10.979,GWO.A3
10.980,GWO.A3
10.982,GWO.J3
10.983,GWO.A3
10.984,GWO.P6
10.985,GWO.A3
10.986,GWO.A3
10.987,GWO.A3
10.988,GWO.A3
10.989,GWO.A3
10.990,GWO.A3
10.992,GWO.A3
10.996,GWO.H5
10.997,GWO.B3
11.008,GWO.G13
11.011,GWO.S1
11.012,GWO.S1
11.015,GWO.J1
11.016,GWO.S1
11.017,GWO.S1
11.021,GWO.B5
11.023,GWO.H2
11.024,GWO.B5
11.028,GWO.C2
11.029,GWO.C2
11.031,GWO.C2
11.032,GWO.C2
11.033,GWO.C2
11.034,GWO.B2
11.035,GWO.C2
11.036,GWO.C2
11.037,GWO.B1
11.038,GWO.B5
11.039,GWO.B5
11.040,GWO.B6
11.042,GWO.S1
11.043,GWO.S1
11.044,GWO.B5
11.045,GWO.Q2
11.046,GWO.B6
11.047,GWO.S1
11.048,GWO.H6
11.049,GWO.S1
11.053,GWO.S1
11.054,GWO.S1
11.056,GWO.S1
11.057,GWO.G13
11.058,GWO.Q4
11.061,GWO.Q2
11.062,GWO.Q4
11.063,GWO.Q4
11.064,GWO.Q2
11.065,GWO.Q2
11.066,GWO.Q4
11.112,GWO.B3
11.300,GWO.C1
11.302,GWO.C1
11.303,GWO.C1
11.307,GWO.C1
11.312,GWO.C1
11.313,GWO.B2
11.400,GWO.S1
11.402,GWO.T5
11.405,GWO.S1
11.407,GWO.Q2
11.408,GWO.B1
11.413,GWO.D2
11.415,GWO.B1
11.417,GWO.S1
11.419,GWO.Q4
11.420,GWO.Q4
11.427,GWO.B5
11.429,GWO.J1
