al_#,PON ID
10.931,PON.205
10.931,PON.10Q
10.931,PON.6Q
19.777,PON.81
19.777,PON.129
19.777,PON.N56
93.423,PON.N68
10.216,PON.57
10.216,PON.N19
10.227,PON.N22
10.120,PON.75
10.120,PON.N23
10.992,PON.N23
10.992,PON.2A
10.992,PON.1A
93.353,PON.103
93.353,PON.15L
93.353,PON.T125
93.463,PON.15L
93.463,PON.103
93.368,PON.15L
93.372,PON.103
93.372,PON.15L
93.372,PON.T125
93.370,PON.103
93.370,PON.15L
93.370,PON.T125
93.CRP,PON.15L
93.CRP,PON.103
93.CRP,PON.16L
45.032,PON.827
10.967,PON.N23
10.277,PON.11
10.277,PON.852
10.277,PON.853
59.041,PON.866
59.012,PON.866
59.007,PON.865
59.007,PON.869
59.007,PON.868
59.006,PON.869
15.430,PON.2Q
15.430,PON.N11
15.964,PON.T97
93.00R,PON.901
93.00R,PON.896
93.00R,PON.125
93.762,PON.T89
15.099,PON.4J
15.258,PON.11B
15.258,PON.8Q
15.258,PON.826
15.252,PON.4J
15.252,PON.8Q
19.432,PON.910
19.432,PON.8IA
19.421,PON.57
19.421,PON.11IA
19.400,PON.8IA
19.400,PON.N63
19.010,PON.10IA
19.010,PON.6IA
19.401,PON.7IA
19.401,PON.8IA
19.401,PON.N56
19.011,PON.912
19.011,PON.8IA
19.408,PON.8IA
19.408,PON.N56
19.009,PON.8IA
TC.082,PON.868
TC.069,PON.833
10.174,PON.204
10.174,PON.N22
93.968,PON.876
93.464,PON.11
93.843,PON.11
93.432,PON.1L
93.369,PON.179
93.369,PON.1L
93.433,PON.76
93.433,PON.122
93.433,PON.15L
93.118,PON.622
93.118,PON.873
20.228,PON.117
20.228,PON.9C
20.228,PON.T34
93.391,PON.125
15.670,PON.N26
15.670,PON.T125
93.841,PON.125
93.841,PON.876
93.841,PON.N74
TC.160,PON.T91
TC.161,PON.T91
93.00J,PON.125
93.00J,PON.901
93.00J,PON.6L
15.046,PON.144
93.603,PON.98
93.603,PON.182
93.659,PON.182
93.659,PON.98
93.659,PON.145
TC.121,PON.182
TC.121,PON.T91
93.652,PON.98
84.002,PON.619
84.191,PON.103
84.191,PON.619
20.947,PON.T52
TC.038,PON.866
TC.038,PON.N73
11.068,PON.103
11.068,PON.6B
11.068,PON.T121
TC.087,PON.866
TC.087,PON.N73
TC.039,PON.866
TC.039,PON.11E
12.333,PON.827
12.333,PON.1ND
TC.024,PON.866
TC.024,PON.N73
93.247,PON.N74
81.135,PON.65
93.384,PON.15L
20.226,PON.T34
20.226,PON.T35
93.088,PON.65
93.088,PON.103
93.088,PON.876
19.900,PON.5IA
43.002,PON.36
43.002,PON.103
43.002,PON.T121
93.092,PON.853
93.534,PON.871
93.534,PON.16L
32.011,PON.104
32.011,PON.131
32.008,PON.104
14.878,PON.117
14.878,PON.835
19.225,PON.143
19.225,PON.617
15.620,PON.N26
15.620,PON.T125
93.866,PON.103
93.866,PON.15L
