Category Code,Category,FA Code,Focus Area,GWO ID,GWO,GWO Definition
2025#DS,Debt Service,DS.FA1,Fees and Receipts,DS1,Improved Collection of Fees and Receipts ,"Ensuring government fees, taxes, and receipts are collected effectively, efficiently, and in full compliance with the law."
2025#IA,International Affairs,IA.FA1,International Relations and Foreign Affairs,IA1,Provide Consulate Services,Delivering efficient and accessible services and information to U.S. citizens abroad.
2025#IA,International Affairs,IA.FA1,International Relations and Foreign Affairs,IA2,Promote International Education and Exchange,"Expanding opportunities for international education, exchanges, and cooperation between U.S. institutions and global partners."
2025#IA,International Affairs,IA.FA1,International Relations and Foreign Affairs,IA3,Provide International Development and Humanitarian Assistance,Delivering effective humanitarian aid and development assistance.
2025#IA,International Affairs,IA.FA1,International Relations and Foreign Affairs,IA4,Strengthen Diplomatic Relations,Strengthening America's relationships with foreign governments and international organizations.
2025#IA,International Affairs,IA.FA1,International Relations and Foreign Affairs,IA5,Foster International Economic Empowerment and Opportunities,Expanding economic opportunities and strengthening conditions for growth in partner nations.
2025#ND,National Defense,ND.FA1,Defense Capability,ND1,Improve Military Training and Education,Advancing the skills and readiness of U.S. service members.
2025#ND,National Defense,ND.FA1,Defense Capability,ND2,Advance Defense Research,Advancing military innovation and technology to maintain America's strategic advantage.
2025#ND,National Defense,ND.FA1,Defense Capability,ND3,Strengthen Military Readiness,Ensuring U.S. forces remain fully prepared to respond to domestic and foreign threats.
A#,Agricultural,A.FA1,Agricultural Resources and Services,A1,Advance Agriculture Research,"Expanding the quality, scope, and application of agricultural research to improve food production, technologies, sustainability, and resilience in farming and food systems."
A#,Agricultural,A.FA1,Agricultural Resources and Services,A2,Increase Sustainable Agriculture,Developing and enhancing access to sustainable agricultural practices and systems.
A#,Agricultural,A.FA2,Farm Income Stabilization,A3,Provide Agricultural Incentives and Support ,Advancing the competitiveness and resilience of America's farms and rural communities.
B#,Business and Commerce,B.FA1,Business Development,B1,Provide Lending and Investment Opportunities,Providing businesses with access to capital and investment opportunities to support their growth and competitiveness.
B#,Business and Commerce,B.FA1,Business Development,B2,Grow American Businesses,Providing businesses with effective technical assistance to stay competitive in U.S. and global markets.
B#,Business and Commerce,B.FA2,Economic Development,B3,Expand Trade and Market Access,Expanding the ability of domestic producers and businesses to gain access to access domestic and international markets under fair trade agreements.
B#,Business and Commerce,B.FA2,Economic Development,B4,Enforce Trade Laws,Ensuring compliance with U.S. trade laws and regulations.
B#,Business and Commerce,B.FA2,Economic Development,B5,Accelerate Development of Commercial Products and Technologies,Accelerating the creation and market entry of new commercial products and technologies.
B#,Business and Commerce,B.FA2,Economic Development,B6,Create Jobs,"Creating new jobs, expanding workforce participation, and supporting pathways to sustained and gainful employment."
C#,Community Development,C.FA1,"Community, Area, and Regional Development",C1,Strengthen Community and Regional Development,"Building stronger local economies and resilient business ecosystems in urban, rural, Tribal, and economically distressed regions."
C#,Community Development,C.FA1,"Community, Area, and Regional Development",C2,"Provide Quality, Reliable Telecommunications Systems","Ensuring access to reliable, high-quality, and affordable internet, phone, and broadband services for communities across the country."
D#,Consumer Protection,D.FA1,Consumer and Occupational Health and Safety,D1,Increase Occupational Safety and Health,"Improving workplace conditions, practices, and protections to prevent injuries, illnesses, and fatalities."
D#,Consumer Protection,D.FA1,Consumer and Occupational Health and Safety,D2,Strengthen Consumer Safety ,Protecting the public from unsafe products and services to ensure consumer confidence and safety.
E#,Cultural Affairs,E.FA1,Access and Appreciation,E1,Promote the Arts and Humanities,Strengthening the quality of and opportunities for the public to participate in arts and humanities education and programming. 
E#,Cultural Affairs,E.FA2,Artistic Talent Development,E2,Strengthen Skill Development within Arts and Humanities Fields,"Developing individuals' artistic abilities, knowledge, and creativity'within the arts and humanities fields."
E#,Cultural Affairs,E.FA3,Cultural Heritage and Traditions,E3,Provide Cultural Educational Experiences,"Providing opportunities for individuals to learn about their own histories, traditions, and languages to foster cultural awareness, appreciation, and lifelong learning."
E#,Cultural Affairs,E.FA3,Cultural Heritage and Traditions,E4,Increase Cultural Understanding,"Expanding opportunities for individuals to learn about the history, traditions, and languages of cultures other than their own to promote cross-cultural dialogue and awareness."
E#,Cultural Affairs,E.FA4,Cultural Institutions,E5,Utilize America's Cultural Institutions,Increasing public engagement and participation with cultural institutions.
E#,Cultural Affairs,E.FA4,Cultural Institutions,E6,Preserve Culturally or Historically Significant Sites or Artifacts ,"Identifying, preserving, and increasing awareness of historic sites, monuments, or heritage assets - focusing specifically on the preservation of physical items."
F#,Disaster Prevention and Relief,F.FA1,"Disaster Readiness, Response, and Relief",F1,Improve Direct Disaster and Emergency Relief,Improving capabilities to provide timely and effective relief to communities impacted by disasters.
F#,Disaster Prevention and Relief,F.FA1,"Disaster Readiness, Response, and Relief",F2,Increase Disaster Resilience and Response Readiness,"Strengthening communities' ability to withstand, adapt to, and recover from disasters and emergencies."
F#,Disaster Prevention and Relief,F.FA1,"Disaster Readiness, Response, and Relief",F3,Improve Public Health Emergency Preparedness and Response,"Strengthening the ability to prevent, detect, respond to, and recover from public health emergencies."
G#,Education,G.FA1,Early Childhood Education and Childcare,G1,Strengthen Early Childhood Education and Childcare,Ensuring high-quality early learning and childcare for young children and families.
G#,Education,G.FA5,STEM Education,G10,Strengthen STEM Education,Expanding opportunities for students at all grade levels to engage in high-quality STEM learning and experiences.
G#,Education,G.FA5,STEM Education,G11,"Increase Completion of STEM Degrees, Certificates, and Credentials","Increasing the number of students who successfully earn degrees, certificates, or credentials in science, technology, engineering or mathematics fields."
G#,Education,G.FA5,STEM Education,G12,Strengthen Preparation for STEM Education,"Strengthening students' academic foundation, interest, and identity in STEM fields."
G#,Education,G.FA5,STEM Education,G13,Increase Quality of STEM Education,"Advancing rigorous STEM learning, effective teaching, and environments that inspire curiosity, innovation, and problem-solving."
G#,Education,G.FA1,Early Childhood Education and Childcare,G2,Promote School Readiness and Preparation,"Ensuring children enter school equipped with age-appropriate literacy, numeracy, cognitive, and social-emotional skills."
G#,Education,G.FA2,Educational Environments,G3,Promote Safe and High-Quality Schools,"Fostering safe, supportive, and high-quality learning environments that foster students' academic and social development."
G#,Education,G.FA2,Educational Environments,G4,Strengthen Educator Workforce Quality,Building a skilled and effective educator workforce.
G#,Education,G.FA3,K-12 Education,G5,Improve K-12 Academic Performance,Raising student achievement across primary and secondary education and increasing high school graduation.
G#,Education,G.FA3,K-12 Education,G6,Increase K12 School Enrollment,Increasing the enrollment and consistent attendance of school-age children in K-12 education.
G#,Education,G.FA4,Post-Secondary Education,G7,Provide Finance Options for Post-Secondary Education,Providing financing opportunities for higher education.
G#,Education,G.FA4,Post-Secondary Education,G8,Increase Post-Secondary Completion,"Increasing the number of students who successfully complete a college degree, certificate, or credential program."
G#,Education,G.FA4,Post-Secondary Education,G9,Strengthen Preparation for Post-Secondary Education,Preparing students for entry into post-secondary programs. 
H#,Employment and Labor,H.FA1,Workforce Development,H1,Improve Digital Literacy,"Equipping individuals with the skills to effectively and safely use digital technologies, devices, and online resources."
H#,Employment and Labor,H.FA1,Workforce Development,H2,Improve STEM Workforce Training,"Expanding opportunities for individuals to gain the knowledge, technical skills, and practical experience needed to enter, succeed, and advance in science, technology, engineering, and mathematics (STEM) careers."
H#,Employment and Labor,H.FA1,Workforce Development,H3,Foster Workforce Re-entry,Expanding pathways that enable individuals to return to work and sustain long-term employment.
H#,Employment and Labor,H.FA1,Workforce Development,H4,Increase Adult Literacy,"Improving the reading, writing, numeracy, and comprehension skills of adult learners. "
H#,Employment and Labor,H.FA1,Workforce Development,H5,Strengthen Service and Civic Engagement Workforce Pathways,Expanding opportunities for volunteering and civic participation for youth and adults to build skills and connect to career pathways. 
H#,Employment and Labor,H.FA1,Workforce Development,H6,Grow the STEM Workforce,"Increasing the number of individuals entering, advancing, and remaining in science, technology, engineering, or mathematics (STEM) careers."
H#,Employment and Labor,H.FA1,Workforce Development,H7,Foster Workforce Skill Development,"Strengthening opportunities for individuals to gain the skills and competencies needed to secure, maintain, and advance in employment across industries."
I#,Energy,I.FA1,Energy Supply,I1,"Maintain Affordable, Reliable Utility Services","Providing essential, affordable, and reliable utility services to households. "
I#,Energy,I.FA1,Energy Supply,I2,Expand Domestic Energy Production,Expanding conventional and renewable energy generation and production within the U.S. 
I#,Energy,I.FA1,Energy Supply,I3,Advance Energy Innovation (R&D),"Advancing energy research and innovation to enhance energy efficiency, reliability, and resilience.  "
I#,Energy,I.FA1,Energy Supply,I4,Increase Energy Reliability and Stability (Infrastructure),"Ensuring America's energy systems remain reliable, stable, and resilient to disruptions."
J#,Environmental Quality,J.FA1,Pollution Control and Abatement,J1,Strengthen Environmental Research,"Expanding the quality, scope, and application of environmental research to deepen understanding of ecosystems, natural resources, and environmental challenges."
J#,Environmental Quality,J.FA1,Pollution Control and Abatement,J2,Protect Clean Air and Water," Improving clean water and air protection, reducing pollution, and implementing sustainable management practices to safeguard human health and water and air ecosystems. "
J#,Environmental Quality,J.FA1,Pollution Control and Abatement,J3,Reduce Environmental Hazards,"Reducing risks to people, ecosystems, and communities from pollutants and other environmental hazards."
K#,Food and Nutrition,K.FA1,Food and Nutrition Assistance,K1,Improve Food Supply Chains,"Eliminating or minimizing disruptions in the food supply chain to ensure safe, reliable, and nutritious food is available across American communities. "
K#,Food and Nutrition,K.FA1,Food and Nutrition Assistance,K2,Improve Food Distribution Networks,Enhancing the efficiency of food distribution systems and networks that support getting food from producers and manufacturers to consumers.
K#,Food and Nutrition,K.FA1,Food and Nutrition Assistance,K3,End Hunger,Eliminating food insecurity among U.S. households.
L#,Health,L.FA1,Child Welfare,L1,Ensure Stability and Security for Children Without Parents,"Supporting safe, stable, and permanent living arrangements or environments for orphaned children."
L#,Health,L.FA2,Health and Wellbeing,L10,Improve Older Adult Health,Enabling the health and independence of older adults.
L#,Health,L.FA2,Health and Wellbeing,L11,Improve Physical Health and Behaviors ,Promoting healthier lives and behaviors to improve Americans' overall health and wellness.
L#,Health,L.FA2,Health and Wellbeing,L12,Eliminate Chronic Disease and Risk Factors,Reducing the prevalence and severity of chronic diseases and associated risk factors.
L#,Health,L.FA2,Health and Wellbeing,L13,Eliminate Infectious Diseases,Reducing the incidence and impact of infectious diseases through prevention and treatment.
L#,Health,L.FA3,Healthcare Access,L14,Strengthen Healthcare Services,"Enhancing the reach, quality, and reliability of healthcare so that Americans can access timely, high-quality care in their communities."
L#,Health,L.FA3,Healthcare Access,L15,Provide Healthcare Coverage,"Improving quality, access, and availability of affordable healthcare coverage options for consumers, providing financial assistance for health insurance, enforcing key consumer protections and stabilizing health insurance markets, or facilitating care for vulnerable populations like seniors, people with disabilities, or children."
L#,Health,L.FA3,Healthcare Access,L16,Reduce Drug and Healthcare Costs,Lowering the cost of prescription drugs and medical care to ease financial burdens and make healthcare more affordable and accessible for all Americans.
L#,Health,L.FA4,Healthcare Innovation,L17,Advance Scientific Research in Health and Medicine,"Supporting medical research and innovation to improve diagnostics, practices, treatments, or preventions. "
L#,Health,L.FA5,Healthcare Quality and Delivery,L18,Improve Capacity of the Healthcare System,Strengthening the healthcare system's ability to meet patient and community needs.
L#,Health,L.FA5,Healthcare Quality and Delivery,L19,Ensure Patient Safety and Privacy ,Reducing medical errors and safeguarding the privacy of protected personal health information.
L#,Health,L.FA1,Child Welfare,L2,End Child Abuse and Neglect,Eliminating child abuse and neglect to ensure the safety and well-being of American children.
L#,Health,L.FA5,Healthcare Quality and Delivery,L20,Improve the Quality of Care Provided by Healthcare Systems,"Strengthening the overall effectiveness, safety, and patient experience of America's healthcare systems."
L#,Health,L.FA5,Healthcare Quality and Delivery,L21,"Strengthen Health Education, Communication, and Outreach ",Promote public understanding of health issues to connect those in need with eligible health services.
L#,Health,L.FA6,Veteran Health,L22,Support Veterans' Health,"Enhancing the health and well-being of veterans and their families through high-quality care, benefits, and support."
L#,Health,L.FA2,Health and Wellbeing,L3,End Substance Use Disorder,Eradicating the prevalence and impact of substance use disorders while supporting long-term recovery.
L#,Health,L.FA2,Health and Wellbeing,L4,Eliminate Barriers for People with Disabilities,"Enhancing the physical and mental health, independence, and quality of life of American's living with disabilities."
L#,Health,L.FA2,Health and Wellbeing,L5,"Improve Maternal, Infant, and Child Health","Improving the health and well-being of women, infants, and children to ensure safe pregnancies, healthy births, and strong early development."
L#,Health,L.FA2,Health and Wellbeing,L6,Improve Mental and Behavioral Health ,Strengthening mental and behavioral health to promote resilience and psychological well-being.
L#,Health,L.FA2,Health and Wellbeing,L7,Provide Quality Sanitation Services,"Ensure public health with available, reliable, safe, and hygienic sanitation services."
L#,Health,L.FA2,Health and Wellbeing,L8,Provide Quality Solid Waste Management Systems,"Ensure public health with available, reliable, safe, and efficient solid waste collection, disposal, or recycling services. "
L#,Health,L.FA2,Health and Wellbeing,L9,Ensure Safe Drinking Water,"Ensure public health with available, reliable, and safe drinking water systems that meet water quality standards."
M#,Housing,M.FA1,Housing and Homelessness,M1,End Homelessness,"Eliminating homelessness so that every individual and family has a safe, stable, and permanent place to live."
M#,Housing,M.FA1,Housing and Homelessness,M2,Support Affordable Housing,Open opportunities to affordable and safe housing for eligible individuals and families. 
M#,Housing,M.FA1,Housing and Homelessness,M3,Increase Homeownership,Enable more individuals and families can achieve the American dream of homeownership.
M#,Housing,M.FA1,Housing and Homelessness,M4,Promote Safe and High-Quality Housing,Strengthen the physical condition and safety of residential structures to support occupant's health and well-being.
N#,Income Security and Social Services,N.FA1,Burial Benefits,N1,Provide Burial Benefits and Services to Veterans,"Providing burial benefits, including burial assistance and memorial services, to eligible veterans and their families."
N#,Income Security and Social Services,N.FA2,Personal Financial Health,N2,Promote Personal Financial Responsibility,"Provide financial knowledge, tools, or skills to enable individual financial decision-making and literacy.  "
N#,Income Security and Social Services,N.FA2,Personal Financial Health,N3,Bridge Financial Gaps with Transitional Income Assistance,Provide individuals or households with a temporary safety net through income security or financial assistance support.
P#,"Law, Justice, and Legal Services",P.FA1,Law Enforcement Support,P1,Advance the Capabilities of the Forensic Sciences,"Strengthening the accuracy, reliability, or integrity of forensic science techniques that are applied in investigations or legal proceedings."
P#,"Law, Justice, and Legal Services",P.FA4,Border Security,P10,Secure the Border,"Employment of surveillance capabilities, improved infrastructure, and operational capacity to protect America's national security interests at the border."
P#,"Law, Justice, and Legal Services",P.FA5,Cybersecurity,P11,Improve Cyber Incident Response,"Strengthening the ability to detect, respond to, or recover from cyber or digital attacks against critical systems and data."
P#,"Law, Justice, and Legal Services",P.FA5,Cybersecurity,P12,Harden Cyber Defenses,"Protecting American interests against digital or cyber threats that target our networks, infrastructure, or workforce capabilities."
P#,"Law, Justice, and Legal Services",P.FA6,Domestic Threats and Hazards,P13,Protect Critical Infrastructure,Strengthen or harden the physical security of critical infrastructure facilities and systems to ensure safe and reliable operations in the face of threats.
P#,"Law, Justice, and Legal Services",P.FA1,Law Enforcement Support,P2,Ensure Law Enforcement Readiness,"Increasing the operational capacity and effectiveness of federal, state, and local law enforcement to prevent, respond to, or recover from public safety threats."
P#,"Law, Justice, and Legal Services",P.FA1,Law Enforcement Support,P3,Support Survivors of Crime,"Strengthening the support and advocacy for survivors of crime with the resources needed to empower them to rebuild, recover, or navigate the justice system."
P#,"Law, Justice, and Legal Services",P.FA1,Law Enforcement Support,P4,Eliminate Crime,Build safer communities that are free from crime.
P#,"Law, Justice, and Legal Services",P.FA1,Law Enforcement Support,P5,End Criminal Recidivism,Elimination of barriers that lead to instances of reincarceration rates while supporting reentry and long-term rehabilitation. 
P#,"Law, Justice, and Legal Services",P.FA2,Legal Services,P6,Protect Constitutional and Civil Rights,Safeguarding constitutional freedoms and civil rights to ensure equal protection and fair treatment under the law.
P#,"Law, Justice, and Legal Services",P.FA3,Tribal Independence and Autonomy,P7,Strengthen Tribal Self-Governance,"Building the capacity of Tribal nations to govern effectively and exercise autonomous, self-determination."
P#,"Law, Justice, and Legal Services",P.FA4,Border Security,P8,End Illegal Immigration,Ending unlawful entry into the United States.
P#,"Law, Justice, and Legal Services",P.FA4,Border Security,P9,Eliminate Transnational Crime,Combat criminal networks and syndicates that operates across international borders.
Q#,Natural Resources,Q.FA1,Conservation and Land Management,Q1,Improve Conservation of Natural Habitats and Ecosystems,"Promote adoption of practices for the protection, restoration, and management of natural habitats or ecosystems to maintain their biodiversity and support their resilience."
Q#,Natural Resources,Q.FA1,Conservation and Land Management,Q2,Improve Conservation of Wildlife and Natural Resources,"Promote adoption of practices for the protection, restoration, and management of wildlife populations, habitats, or natural resources to maintain biodiversity and support resilience of ecosystems."
Q#,Natural Resources,Q.FA1,Conservation and Land Management,Q3,Improve Forest and Land Stewardship,"Promote adoption of practices for the sustainable management, protection, and restoration of forests and other lands to support ecological health, biodiversity, and resilience. "
Q#,Natural Resources,Q.FA2,Water Resources,Q4,Improve Water Resource and Ecosystem Management,Strengthening the sustainable management and protection of water resources and ecosystems to safeguard their long-term health and availability.
Q#,Natural Resources,Q.FA1,Conservation and Land Management,Q5,Eliminate Wildfires,"Strengthening the capacity to prevent, respond to, and recover from wildfires in order to protect forests, lands, and natural resources."
Q#,Natural Resources,Q.FA3,Recreational Resources,Q6,Experience America's Natural Beauty and Public Landscapes,Expanding recreational opportunities for the public to enjoy the nation's scenic landscapes and public lands.
S#,Science and Technology,S.FA1,General science and basic research,S1,Increase Scientific Research and Knowledge,"Advancing science, research, and knowledge across disciplines and sectors. "
T#,Transportation,T.FA1,Multi-modal Transportation,T1,Improve Commercial Distribution Infrastructure,"Enhancing the efficiency, reliability, and reach of infrastructure that transports, stores, and delivers goods from suppliers to markets."
T#,Transportation,T.FA2,Ground Transportation,T2,Improve Rail Transportation Networks,"Ensuring the safety, reliability, and capacity of rail systems to meet the needs of passengers, crew, and freight."
T#,Transportation,T.FA2,Ground Transportation,T3,Sustain Public Roadway System,Construction or maintenance of public roadway infrastructure system.
T#,Transportation,T.FA3,Air Transportation,T4,Increase Aviation Safety,"Ensuring the safety, reliability, and capacity of aviation systems to meet the needs of passengers, crew, and cargo."
T#,Transportation,T.FA4,Water Transportation,T5,Increase Maritime Safety,"Ensuring the safety, reliability, and capacity of U.S. waterways and ports to meet the needs of passengers, crews, and cargo."
T#,Transportation,T.FA1,Multi-modal Transportation,T6,Sustain Public Infrastructure System,"Ensuring reliability, availability, and capacity of public transit modes to meet the needs of all users."
T#,Transportation,T.FA1,Multi-modal Transportation,T7,Increase Safety of Public Transit,Protecting users of public transit systems across all modes of transportation.
T#,Transportation,T.FA2,Ground Transportation,T8,End traffic-related Fatalities and Injuries,Improving the safety and reliability of public roadways to end traffic-related deaths and injuries.
