PON ID,Category Code,Category,FA Code,Focus Area,PON2,PON Definition
T99,L#,Health,L.FA2,Health and Wellbeing,Increase Knowledge of Child Development,"A beneficiary demonstrated one or more of the following results within the past year: -Increased knowledge and use of developmentally appropriate parenting strategies to support a child's growth and well-being (e.g., positive discipline, responsive caregiving, language-rich interaction); -Increased knowledge of developmental milestones or age-appropriate behaviors in children."
T98,L#,Health,L.FA2,Health and Wellbeing,Improve Age-Appropriate Physical Development for Children,"A beneficiary demonstrated one or more of the following results within the past year: -Met developmental milestones in gross and fine motor skills appropriate for their age; -Maintained or improved physical health indicators such as healthy weight, stamina, or flexibility; -Showed increased ability to participate in age-appropriate physical tasks or routines (e.g., coordination)."
T97,E#,Cultural Affairs,E.FA4,Cultural Institutions,Protect Cultural and Historical Sites and Artifacts,"A beneficiary demonstrated one or more of the following results within the past year: -Preserved or restored buildings, objects, or sites of historical or cultural significance; -Identified and documented places or artifacts with potential historical or cultural value."
T96,P#,"Law, Justice, and Legal Services",P.FA1,Law Enforcement Support,Increase Support for Families of Victims of Traumatic Loss,"A beneficiary demonstrated one or more of the following results within the past year: -Provided financial, emotional, or practical support to families of individuals who experienced loss due to conflict, crime, or other traumatic circumstances; -Assisted with post-death logistical and ceremonial needs (e.g., burial support, military funeral honors); -Supported symbolic or commemorative efforts (e.g., monuments, memorial events, remembrance days) to recognize victims and their families."
T95,G#,Education,G.FA1,Early Childhood Education and Childcare,Improve School Readiness,"A beneficiary demonstrated one or more of the following results within the past year: -Achieved a score indicating school readiness on a validated kindergarten readiness assessment; -Met or exceeded benchmarks in early literacy, numeracy, or cognitive development domains; -Demonstrated age-appropriate social-emotional and self-regulation skills as measured by a standardized assessment. "
T94,G#,Education,G.FA1,Early Childhood Education and Childcare,Increase Pre-School Enrollment,A beneficiary demonstrated one or more of the following results within the past year: -Enrollment in a pre-school; -Reduction in enrollment gaps. 
T91,N#,Income Security and Social Services,N.FA2,Personal Financial Health,Reduce Tax Burden,"A beneficiary achieved one or more of the following results within the past year: -Received a tax credit, deduction, or exemption based on eligibility tied to income, caregiving, education, or other socially valuable activity; -Benefited from expanded access to refundable or nonrefundable credits aimed at reducing inequality (e.g., EITC, Child Tax Credit); -Increased after-tax income as a result of policy measures intended to promote fairness in the tax system."
T89,L#,Health,L.FA2,Health and Wellbeing,Reduce Risk of Illness,"A beneficiary demonstrated one or more of the following results within the past year: -Reduced exposure to environmental and community risk factors associated with illness or disease; -Positive behavior changes that reduce risk of chronic diseases (e.g., maintaining a nutritious diet, avoiding tobacco and excessive drinking, getting regular health screenings, being physically active); -Improved physical health indicators linked to  disease prevention (e.g., better respiratory function, improved sleep)."
T88,L#,Health,L.FA2,Health and Wellbeing,Improve Physical Health Condition,"A beneficiary demonstrated one or more of the following results within the past year: -Improvement or stabilization of a physical health condition; -Reduction in symptoms, pain, or functional limitations; -Prevention of the worsening or flare-up of a health condition; -Maintenance of key clinical health indicators; -Recovery or regaining of function following illness or injury."
T87,P#,"Law, Justice, and Legal Services",P.FA1,Law Enforcement Support,Improve Crime Reporting Infrastructure,"A beneficiary demonstrated one or more of the following results within the past year: -Decreased dispatch or response time of emergency responders or law enforcement personnel; -Eliminated any wait time upon calling an emergency call center; -Established or enhanced public reporting systems for crimes or concerns that may not require immediate response (e.g., law enforcement tip lines, digital reporting platforms); -Established or upgraded crime-specific reporting hotlines (e.g., human trafficking hotlines)."
T73,M#,Housing,M.FA1,Housing and Homelessness,Utilize Individual Services for Stabilization,"A beneficiary achieved one or more of the following results within the past year: -Coordinated care to identify and facilitate the provision of services supporting stabilization (e.g., case management, wraparound services); -Support services tailored to their individual needs across multiple domains."
T72,B#,Business and Commerce,B.FA2,Economic Development,Expand International Economic Engagement,A beneficiary demonstrated one or more of the following results within the past year: -Promoted international trade and investment; -Strengthened economic ties with foreign markets; -Supported fair trade and reciprocal trade practices.
T69,Q#,Natural Resources,Q.FA3,Recreational Resources,Increase Access to Recreational Trails and Outdoor Areas,"A beneficiary achieved one or more of the following results within the past year: -Increased miles of newly constructed recreational trails or trailheads; -Increased new construction or replacement of related facilities; -Increased number of new access points (e.g., trailheads, boat launches, parking areas); -Increased connectivity points linking trails to other regional networks; -Increased utilization rate of visitors participating in outdoor recreational opportunities."
T55,P#,"Law, Justice, and Legal Services",P.FA3,Tribal Independence and Autonomy,Increase Tribal Self-Governance and Decision-Making Authority,"A beneficiary demonstrated one or more of the following within the past year: -Gained greater control over programs or services previously managed by outside governments (e.g., federal, state, etc.); -Secured funding or agreements that support tribal-led planning, implementation, and oversight; -Developed or expanded tribal laws, institutions, or governance systems in areas such as health, education, justice, infrastructure, or resource management."
T53,Q#,Natural Resources,Q.FA3,Recreational Resources,Improve Maintenance of Recreational Trails and Natural Areas,"A beneficiary achieved one or more of the following results within the past year: -Increased miles of existing recreational trails or trailheads maintained or improved; -Upgraded or replaced related facilities (e.g., signage, rest areas, access points, etc.); - Enhancements completed to the quality, safety, or physical accessibility of natural recreational areas such as parks, greenways, or open spaces."
T52,2025#CC,Cross-Cutting,CC.FA1,Cross-Cutting,Improve Data Infrastructure and Accessibility,"A beneficiary demonstrated one or more of the following results within the past year: -Developed or maintained publicly available databases, dashboards, or knowledge products to share information transparently; -Strengthened internal data systems for secure collection, analysis, and decision-making; -Increased availability, usability, and transparency of data for both internal teams and external stakeholders."
T39,C#,Community Development,C.FA1,"Community, Area, and Regional Development",Improve Solid Waste Management,A beneficiary accessed one or more of the following results in the past year: -Reliable and safe solid waste collection and disposal services.
T36,T#,Transportation,T.FA1,Multi-modal Transportation,Improve Access to Transit,A beneficiary achieved one or more of the following results within the past year: -Reduced transit costs; -Increased reliability of transit options; -Improved accessibility for people with disabilities.
T35,T#,Transportation,T.FA1,Multi-modal Transportation,Improve Transit Connectivity,"A beneficiary achieved one or more of the following results within the past year: -Reduced transit times to key services (e.g., hospitals, schools, grocery stores); -Reduced transit times to their place of work; -Expanded schedule options; -Reduced transit times to recreation and community spaces; -Increased transportation modality options."
T34,T#,Transportation,T.FA1,Multi-modal Transportation,Increase Traveler Safety,A beneficiary achieved one or more of the following results within the past year: -Reduction in the number of transportation related deaths; -Reduction in the number of transportation related injuries; -Reduction in property damage (as measured by estimated appraised values) resulting from transportation related accidents.
T33,T#,Transportation,T.FA1,Multi-modal Transportation,Decrease Congestion on Highways or Roads,A beneficiary achieved one or more of the following results within the past year: -Increased transit ridership; -Increased mileage of bike lanes; -Increased use of ride-share options. 
T3,D#,Consumer Protection,D.FA1,Consumer and Occupational Health and Safety,Improve Consumer Safety,"A beneficiary achieved one or more of the following results within the past year: -Fewer food recalls or incidents of consumer illness or harm related to unsafe food practices; -Fewer product recalls or consumer injuries or deaths resulting from unsafe or deceptive product manufacturing; -Fewer incidents of financial harm resulting from unsafe financial services (e.g., financial fraud protection, predatory lending prevention); -Fewer incidents of harm resulting from inadequate cybersecurity protections (e.g., data privacy, fraud prevention)."
T234,S#,Science and Technology,S.FA1,General Science and Basic Research,Improve Foundational Research in Astronomy and Space Sciences,"A beneficiary achieved one or more of the following results within the past year: -Developed new insights or findings in the field through scientific or empirical research; -Published findings of completed research projects; -Citation impact of published findings; -Established knowledge management systems or datasets that enable innovation by creating, retaining, or transferring knowledge; -Applied research findings to develop new tools, frameworks, or practices that advance the field; -Increased intellectual property filings (e.g., patents, licenses) resulting from foundation research; -Upgraded research facilities or labs. "
T2,D#,Consumer Protection,D.FA1,Consumer and Occupational Health and Safety,Improve Risk Awareness to Consumers,"A beneficiary demonstrated one or more of the following results within the past year: -Increased awareness of potential consumer safety risks and hazards (e.g., unsafe products, contamination, fraud); -Taken preventive actions to reduce personal risk (e.g., reading labels, avoiding recalled items); -Sought out or used safety information to make more informed consumer choices."
T19,E#,Cultural Affairs,E.FA4,Cultural Institutions,Improve Exhibit/Collection Development and Stewardship,A beneficiary demonstrated one or more of the following results within the past year: -Increased documentation of knowledge and materials; -Expanded institutional collections by acquiring new materials; -Increased digitization of information and materials; -Improved preservation for long-term survival of knowledge and materials.
T18,E#,Cultural Affairs,E.FA4,Cultural Institutions,Increase Available Resources for Cultural Institutions,"A beneficiary demonstrated one or more of the following results within the past year: -Increased publicly available educational programming offered by learning institutions; -Increased public access to learning resources in physical and/or digital formats; -Increased partnership with community-based, local government, and educational organizations."
