program_id,improper_payment_program_name,agency,fiscal_year,outlays,improper_payment_amount,start_date,end_date,insufficient_documentation_amount,slug
23.002,Appalachian Area Development,ARC,2025,,,,,,
23.003,Appalachian Development Highway System,ARC,2025,,,,,,
23.009,Appalachian Local Development District Assistance,ARC,2025,,,,,,
23.001,Appalachian Regional Development,ARC,2025,,,,,,
23.011,"Appalachian Research, Technical Assistance, and Demonstration Projects",ARC,2025,,,,,,
38.009,Board Support and Innovation Grant,ASC,2025,,,,,,
38.006,State Appraiser Agency Support Grants,ASC,2025,,,,,,
85.200,Barry M. Goldwater Scholarship Program,BGSF,2025,,,,,,
94.006,AmeriCorps State and National,CNCS,2012,0,0,,,,cncs-americorps-state-and-national
94.006,AmeriCorps State and National,CNCS,2013,0,0,,,,cncs-americorps-state-and-national
94.006,AmeriCorps State and National,CNCS,2014,303.51,0,,,,cncs-americorps-state-and-national
94.006,AmeriCorps State and National,CNCS,2015,222.4,0,,,13.5,cncs-americorps-state-and-national
94.006,AmeriCorps State and National,CNCS,2016,0,0,,,,cncs-americorps-state-and-national
94.006,AmeriCorps State and National,CNCS,2017,247.192,0,,,26.430094,cncs-americorps-state-and-national
94.006,AmeriCorps State and National,CNCS,2018,244.67,0,,,23.2258064516,cncs-americorps-state-and-national
94.006,AmeriCorps State and National,CNCS,2019,236.21,7.54,2018-04-19,2019-03-01,31.49,cncs-americorps-state-and-national
94.006,AmeriCorps State and National,CNCS,2020,259.26,5.57,2019-04-01,2020-03-31,16.57,cncs-americorps-state-and-national
94.006,AmeriCorps State and National,CNCS,2021,255.85,7.09,2020-04-01,2021-03-01,19.6,cncs-americorps-state-and-national
94.006,AmeriCorps State and National,CNCS,2022,255.98,5.825,2021-04-01,2022-03-01,15.7,cncs-americorps-state-and-national
94.006,AmeriCorps State and National,CNCS,2023,271.747,11.967,2022-03-01,2023-04-01,12.34,cncs-americorps-state-and-national
94.006,AmeriCorps State and National,CNCS,2024,411.81,7.914,2023-04-01,2024-03-01,25.877,cncs-americorps-state-and-national
94.006,AmeriCorps State and National,CNCS,2025,384.39,9.8,2024-04-01,2025-03-31,23.9,cncs-americorps-state-and-national
94.003,AmeriCorps State Service Commission Grants,CNCS,2021,0,0,,,0.0,
94.003,AmeriCorps State Service Commission Grants,CNCS,2022,0,0,,,0.0,
94.013,AmeriCorps Volunteers in Service to America (VISTA),CNCS,2021,0,0,,,0.0,
94.013,AmeriCorps Volunteers in Service to America (VISTA),CNCS,2022,0,0,,,0.0,
94.011,The Foster Grandparent Program (FGP),CNCS,2012,0,0,,,,cncs-the-foster-grandparent-program-fgp
94.011,The Foster Grandparent Program (FGP),CNCS,2013,0,0,,,,cncs-the-foster-grandparent-program-fgp
94.011,The Foster Grandparent Program (FGP),CNCS,2014,0,0,,,,cncs-the-foster-grandparent-program-fgp
94.011,The Foster Grandparent Program (FGP),CNCS,2015,0,0,,,,cncs-the-foster-grandparent-program-fgp
94.011,The Foster Grandparent Program (FGP),CNCS,2016,0,0,,,,cncs-the-foster-grandparent-program-fgp
94.011,The Foster Grandparent Program (FGP),CNCS,2017,82.479,0,,,14.066,cncs-the-foster-grandparent-program-fgp
94.011,The Foster Grandparent Program (FGP),CNCS,2018,87.25,0,,,14.488,cncs-the-foster-grandparent-program-fgp
94.011,The Foster Grandparent Program (FGP),CNCS,2019,92.54,2.13,2018-04-20,2019-03-02,23.61,cncs-the-foster-grandparent-program-fgp
94.011,The Foster Grandparent Program (FGP),CNCS,2020,91.52,3.2,2019-04-01,2020-03-31,9.75,cncs-the-foster-grandparent-program-fgp
94.011,The Foster Grandparent Program (FGP),CNCS,2021,94.1,0.85,2020-04-01,2021-03-01,17.34,cncs-the-foster-grandparent-program-fgp
94.011,The Foster Grandparent Program (FGP),CNCS,2022,91.63,1.56,2021-04-01,2022-03-01,20.19,cncs-the-foster-grandparent-program-fgp
94.011,The Foster Grandparent Program (FGP),CNCS,2023,77.318,2.143,2022-04-01,2023-03-01,5.492,cncs-the-foster-grandparent-program-fgp
94.011,The Foster Grandparent Program (FGP),CNCS,2024,90.63,2.83,2023-04-01,2024-03-01,13.14,cncs-the-foster-grandparent-program-fgp
94.011,The Foster Grandparent Program (FGP),CNCS,2025,93.85,2.81,2024-04-01,2025-03-31,19.34,cncs-the-foster-grandparent-program-fgp
94.002,The Retired and Senior Volunteer Program (RSVP),CNCS,2012,0,0,,,,
94.002,The Retired and Senior Volunteer Program (RSVP),CNCS,2013,0,0,,,,
94.002,The Retired and Senior Volunteer Program (RSVP),CNCS,2014,0,0,,,,
94.002,The Retired and Senior Volunteer Program (RSVP),CNCS,2015,0,0,,,,
94.002,The Retired and Senior Volunteer Program (RSVP),CNCS,2016,0,0,,,,
94.002,The Retired and Senior Volunteer Program (RSVP),CNCS,2017,41.048,0,,,2.784,
94.002,The Retired and Senior Volunteer Program (RSVP),CNCS,2018,40.36,0,,,3.6952941176,
94.002,The Retired and Senior Volunteer Program (RSVP),CNCS,2019,43.47,3.51,2018-04-21,2019-03-03,12.69,
94.002,The Retired and Senior Volunteer Program (RSVP),CNCS,2020,42.6,3.91,2019-04-01,2020-03-31,3.5,
94.002,The Retired and Senior Volunteer Program (RSVP),CNCS,2021,43.37,3.1239,2020-04-01,2021-03-01,2.8,
94.002,The Retired and Senior Volunteer Program (RSVP),CNCS,2022,45.04,1.468,2021-04-01,2022-03-01,6.29,
94.016,The Senior Companion Program (SCP),CNCS,2012,0,0,,,,cncs-the-senior-companion-program-scp
94.016,The Senior Companion Program (SCP),CNCS,2013,0,0,,,,cncs-the-senior-companion-program-scp
94.016,The Senior Companion Program (SCP),CNCS,2014,0,0,,,,cncs-the-senior-companion-program-scp
94.016,The Senior Companion Program (SCP),CNCS,2015,0,0,,,,cncs-the-senior-companion-program-scp
94.016,The Senior Companion Program (SCP),CNCS,2016,0,0,,,,cncs-the-senior-companion-program-scp
94.016,The Senior Companion Program (SCP),CNCS,2017,33.805,0,,,5.676,cncs-the-senior-companion-program-scp
94.016,The Senior Companion Program (SCP),CNCS,2018,38.09,0,,,9.6986956522,cncs-the-senior-companion-program-scp
94.016,The Senior Companion Program (SCP),CNCS,2019,38.73,1.281,2018-04-22,2019-03-04,9.676,cncs-the-senior-companion-program-scp
94.016,The Senior Companion Program (SCP),CNCS,2020,38.48,0.96,2019-04-01,2020-03-31,2.91,cncs-the-senior-companion-program-scp
94.016,The Senior Companion Program (SCP),CNCS,2021,38.36,0.965,2020-04-01,2021-03-01,6.862,cncs-the-senior-companion-program-scp
94.016,The Senior Companion Program (SCP),CNCS,2022,37.31,1.503,2021-04-01,2022-03-01,8.275,cncs-the-senior-companion-program-scp
94.016,The Senior Companion Program (SCP),CNCS,2023,34.365,2.071,2022-04-01,2023-03-01,3.305,cncs-the-senior-companion-program-scp
94.008,Commission Investment Fund (CIF),CNCS,2025,,,,,,
94.020,Disaster Response Cooperative Agreement,CNCS,2025,,,,,,
94.014,MLK Day of Service,CNCS,2025,,,,,,
94.026,Service and Civic Engagement Research Competition,CNCS,2025,,,,,,
94.012,Sept 11th National Day of Service,CNCS,2025,,,,,,
94.021,Volunteer Generation Fund,CNCS,2025,,,,,,
94.017,Innovation and Demonstration,CNCS,2025,,,,,,
87.003,Nicholas and Zachary Burt Memorial Carbon Monoxide Poisoning Prevention Grants,CPSC,2025,,,,,,
87.002,Virginia Graeme Baker Pool and Spa Safety Grants,CPSC,2025,,,,,,
90.003,Denali Commission Program1,DENALI,2025,,,,,,
90.100,Denali Commission Program2,DENALI,2025,,,,,,
90.199,Shared Services,DENALI,2025,,,,,,
87.004,Equity Program,DFC,2025,,,,,,
87.006,Insurance Program,DFC,2025,,,,,,
87.101,Project Development Finance ,DFC,2025,,,,,,
87.005,Debt Financing Program,DFC,2025,,,,,,
97.108,Science and Technology Directorate - Operations & Support,DHS,2025,,,,,,
97.076,Immigration and Customs Enforcement - Homeland Security Investigations - CyberTipline,DHS,2025,,,,,,
97.061,Science and Technology Directorate - Centers of Excellence,DHS,2025,,,,,,
97.062,Science and Technology Directorate - Scientific Leadership Awards,DHS,2025,,,,,,
97.075,Federal Emergency Management Agency - Transit Security Grant Program,DHS,2025,,,,,,
97.057,Federal Emergency Management Agency - Intercity Bus Security Grants,DHS,2004,0,0,,,,
97.057,Federal Emergency Management Agency - Intercity Bus Security Grants,DHS,2005,0,0,,,,
97.057,Federal Emergency Management Agency - Intercity Bus Security Grants,DHS,2006,0,0,,,,
97.057,Federal Emergency Management Agency - Intercity Bus Security Grants,DHS,2007,0,0,,,,
97.057,Federal Emergency Management Agency - Intercity Bus Security Grants,DHS,2008,0,0,,,,
97.057,Federal Emergency Management Agency - Intercity Bus Security Grants,DHS,2009,0,0,,,,
97.057,Federal Emergency Management Agency - Intercity Bus Security Grants,DHS,2010,119,0,,,,
97.057,Federal Emergency Management Agency - Intercity Bus Security Grants,DHS,2011,109,0,,,,
97.057,Federal Emergency Management Agency - Intercity Bus Security Grants,DHS,2012,196,0,,,,
97.057,Federal Emergency Management Agency - Intercity Bus Security Grants,DHS,2013,328,0,,,,
97.057,Federal Emergency Management Agency - Intercity Bus Security Grants,DHS,2014,447,0,,,,
97.057,Federal Emergency Management Agency - Intercity Bus Security Grants,DHS,2015,353.26,0,,,3.12,
97.057,Federal Emergency Management Agency - Intercity Bus Security Grants,DHS,2016,211.06,0,,,0.08,
97.057,Federal Emergency Management Agency - Intercity Bus Security Grants,DHS,2017,0,0,,,,
97.057,Federal Emergency Management Agency - Intercity Bus Security Grants,DHS,2018,0,0,,,,
97.057,Federal Emergency Management Agency - Intercity Bus Security Grants,DHS,2019,0,0,,,,
97.057,Federal Emergency Management Agency - Intercity Bus Security Grants,DHS,2020,0,0,,,,
97.057,Federal Emergency Management Agency - Intercity Bus Security Grants,DHS,2021,0,0,,,0.0,
97.057,Federal Emergency Management Agency - Intercity Bus Security Grants,DHS,2022,0,0,,,0.0,
97.089,Federal Emergency Management Agency - Homeland Security Grant Program,DHS,2004,0,0,,,,
97.089,Federal Emergency Management Agency - Homeland Security Grant Program,DHS,2005,0,0,,,,
97.089,Federal Emergency Management Agency - Homeland Security Grant Program,DHS,2006,0,0,,,,
97.089,Federal Emergency Management Agency - Homeland Security Grant Program,DHS,2007,0,0,,,,
97.089,Federal Emergency Management Agency - Homeland Security Grant Program,DHS,2008,0,0,,,,
97.089,Federal Emergency Management Agency - Homeland Security Grant Program,DHS,2009,1390,0,,,,
97.089,Federal Emergency Management Agency - Homeland Security Grant Program,DHS,2010,1300,0,,,,
97.089,Federal Emergency Management Agency - Homeland Security Grant Program,DHS,2011,1516,0,,,,
97.089,Federal Emergency Management Agency - Homeland Security Grant Program,DHS,2012,1472,0,,,,
97.089,Federal Emergency Management Agency - Homeland Security Grant Program,DHS,2013,1699,0,,,,
97.089,Federal Emergency Management Agency - Homeland Security Grant Program,DHS,2014,2001.49546351,0,,,,
97.089,Federal Emergency Management Agency - Homeland Security Grant Program,DHS,2015,1496.52,0,,,13.524,
97.089,Federal Emergency Management Agency - Homeland Security Grant Program,DHS,2016,658.63,0,,,0.41,
97.089,Federal Emergency Management Agency - Homeland Security Grant Program,DHS,2017,1280.1709,0,,,4.8644,
97.089,Federal Emergency Management Agency - Homeland Security Grant Program,DHS,2018,851.7723,0,,,3.7627,
97.089,Federal Emergency Management Agency - Homeland Security Grant Program,DHS,2019,0,0,,,,
97.089,Federal Emergency Management Agency - Homeland Security Grant Program,DHS,2020,0,0,,,,
97.089,Federal Emergency Management Agency - Homeland Security Grant Program,DHS,2021,0,0,,,0.0,
97.089,Federal Emergency Management Agency - Homeland Security Grant Program,DHS,2022,0,0,,,0.0,
97.132,Federal Emergency Management Agency - Homeland Security Grant Program,DHS,2004,0,0,,,,
97.132,Federal Emergency Management Agency - Homeland Security Grant Program,DHS,2005,0,0,,,,
97.132,Federal Emergency Management Agency - Homeland Security Grant Program,DHS,2006,0,0,,,,
97.132,Federal Emergency Management Agency - Homeland Security Grant Program,DHS,2007,0,0,,,,
97.132,Federal Emergency Management Agency - Homeland Security Grant Program,DHS,2008,0,0,,,,
97.132,Federal Emergency Management Agency - Homeland Security Grant Program,DHS,2009,1390,0,,,,
97.132,Federal Emergency Management Agency - Homeland Security Grant Program,DHS,2010,1300,0,,,,
97.132,Federal Emergency Management Agency - Homeland Security Grant Program,DHS,2011,1516,0,,,,
