PROGRAM_ID,Agency,Program Name,Program Description,Expenditure Method,Mission/Purpose,Recipients,Beneficiaries,Associated Categories,FY 2019 Total Program Obligations,FY 2020 Total Program Obligations,Category,FY 2019 Obligations for Category,FY 2020 Obligations for Category,Update Date-Time
729788,Appalachian Regional Commission,Area Development Base Program,"ARC’s Area Development Base Program relies on a flexible “bottom up” approach to economic and community development, empowering Appalachian communities to work with their state governments to design impactful investment opportunities. The program makes investments in two general areas: critical infrastructure (e.g., water and wastewater systems, transportation networks, broadband) and business and workforce development (e.g., entrepreneurship, worker training and education, food systems, leadership, and other human capital development).",Discretionary Grants,Area and regional development,Nonprofit with 501(c)(3) Status; Domestic Local Government (includes territories unless otherwise specified); U.S. State Government (including the District of Columbia); Public/State Controlled Institution,State; Rural; Other public institution/organization; Public nonprofit institution/organization; Local,Broadband; Economic Development; Opioid Epidemic Response; STEM Education; Workforce Development,46211,65505,Broadband,3559,1420,2021-01-13 at 13.32.03
729788,Appalachian Regional Commission,Area Development Base Program,"ARC’s Area Development Base Program relies on a flexible “bottom up” approach to economic and community development, empowering Appalachian communities to work with their state governments to design impactful investment opportunities. The program makes investments in two general areas: critical infrastructure (e.g., water and wastewater systems, transportation networks, broadband) and business and workforce development (e.g., entrepreneurship, worker training and education, food systems, leadership, and other human capital development).",Discretionary Grants,Area and regional development,Nonprofit with 501(c)(3) Status; Domestic Local Government (includes territories unless otherwise specified); U.S. State Government (including the District of Columbia); Public/State Controlled Institution,State; Rural; Other public institution/organization; Public nonprofit institution/organization; Local,Broadband; Economic Development; Opioid Epidemic Response; STEM Education; Workforce Development,46211,65505,Economic Development,36024,52292,2021-01-13 at 13.32.03
729788,Appalachian Regional Commission,Area Development Base Program,"ARC’s Area Development Base Program relies on a flexible “bottom up” approach to economic and community development, empowering Appalachian communities to work with their state governments to design impactful investment opportunities. The program makes investments in two general areas: critical infrastructure (e.g., water and wastewater systems, transportation networks, broadband) and business and workforce development (e.g., entrepreneurship, worker training and education, food systems, leadership, and other human capital development).",Discretionary Grants,Area and regional development,Nonprofit with 501(c)(3) Status; Domestic Local Government (includes territories unless otherwise specified); U.S. State Government (including the District of Columbia); Public/State Controlled Institution,State; Rural; Other public institution/organization; Public nonprofit institution/organization; Local,Broadband; Economic Development; Opioid Epidemic Response; STEM Education; Workforce Development,46211,65505,Opioid Epidemic Response,535,1012,2021-01-13 at 13.32.03
729788,Appalachian Regional Commission,Area Development Base Program,"ARC’s Area Development Base Program relies on a flexible “bottom up” approach to economic and community development, empowering Appalachian communities to work with their state governments to design impactful investment opportunities. The program makes investments in two general areas: critical infrastructure (e.g., water and wastewater systems, transportation networks, broadband) and business and workforce development (e.g., entrepreneurship, worker training and education, food systems, leadership, and other human capital development).",Discretionary Grants,Area and regional development,Nonprofit with 501(c)(3) Status; Domestic Local Government (includes territories unless otherwise specified); U.S. State Government (including the District of Columbia); Public/State Controlled Institution,State; Rural; Other public institution/organization; Public nonprofit institution/organization; Local,Broadband; Economic Development; Opioid Epidemic Response; STEM Education; Workforce Development,46211,65505,STEM Education,1084,2467,2021-01-13 at 13.32.03
729788,Appalachian Regional Commission,Area Development Base Program,"ARC’s Area Development Base Program relies on a flexible “bottom up” approach to economic and community development, empowering Appalachian communities to work with their state governments to design impactful investment opportunities. The program makes investments in two general areas: critical infrastructure (e.g., water and wastewater systems, transportation networks, broadband) and business and workforce development (e.g., entrepreneurship, worker training and education, food systems, leadership, and other human capital development).",Discretionary Grants,Area and regional development,Nonprofit with 501(c)(3) Status; Domestic Local Government (includes territories unless otherwise specified); U.S. State Government (including the District of Columbia); Public/State Controlled Institution,State; Rural; Other public institution/organization; Public nonprofit institution/organization; Local,Broadband; Economic Development; Opioid Epidemic Response; STEM Education; Workforce Development,46211,65505,Workforce Development,5009,8314,2021-01-13 at 13.32.03
732069,Appalachian Regional Commission,INSPIRE Initiative,"The INvestments Supporting Partnerships In Recovery Ecosystems (INSPIRE) Initiative addresses the substance abuse crisis by creating or expanding a recovery ecosystem that will lead to workforce entry or re-entry. Successful projects will support the post-treatment to employment continuum, as well as initiatives designed to coordinate, or link, recovery services and training that support the recovery ecosystem.",Discretionary Grants,Area and regional development,U.S. State Government (including the District of Columbia); Nonprofit with 501(c)(3) Status; Public/State Controlled Institution; Domestic Local Government (includes territories unless otherwise specified),Local; Person with substance use disorder; Rural,Opioid Epidemic Response,0,15033,Opioid Epidemic Response,0,15033,2021-01-13 at 13.32.03
732067,Appalachian Regional Commission,POWER Initiative,"The POWER (Partnerships for Opportunity and Workforce and Economic Revitalization) Initiative helps communities and regions that have been affected by job losses in coal mining, coal power plant operations, and coal-related supply chain industries due to the changing economics of America’s energy production. The POWER Initiative funds projects that cultivate economic diversity, enhance job training and re-employment opportunities, create jobs in existing or new industries, attract new sources of investment, and strengthen the Region’s broadband infrastructure.",Discretionary Grants,Area and regional development,U.S. State Government (including the District of Columbia); Public/State Controlled Institution; Nonprofit with 501(c)(3) Status; Domestic Local Government (includes territories unless otherwise specified),State; Rural; Other public institution/organization; Public nonprofit institution/organization; Local,Broadband; Economic Development; Opioid Epidemic Response; Workforce Development,66012,28219,Broadband,13214,9053,2021-01-13 at 13.32.03
732067,Appalachian Regional Commission,POWER Initiative,"The POWER (Partnerships for Opportunity and Workforce and Economic Revitalization) Initiative helps communities and regions that have been affected by job losses in coal mining, coal power plant operations, and coal-related supply chain industries due to the changing economics of America’s energy production. The POWER Initiative funds projects that cultivate economic diversity, enhance job training and re-employment opportunities, create jobs in existing or new industries, attract new sources of investment, and strengthen the Region’s broadband infrastructure.",Discretionary Grants,Area and regional development,U.S. State Government (including the District of Columbia); Public/State Controlled Institution; Nonprofit with 501(c)(3) Status; Domestic Local Government (includes territories unless otherwise specified),State; Rural; Other public institution/organization; Public nonprofit institution/organization; Local,Broadband; Economic Development; Opioid Epidemic Response; Workforce Development,66012,28219,Economic Development,26835,12867,2021-01-13 at 13.32.03
732067,Appalachian Regional Commission,POWER Initiative,"The POWER (Partnerships for Opportunity and Workforce and Economic Revitalization) Initiative helps communities and regions that have been affected by job losses in coal mining, coal power plant operations, and coal-related supply chain industries due to the changing economics of America’s energy production. The POWER Initiative funds projects that cultivate economic diversity, enhance job training and re-employment opportunities, create jobs in existing or new industries, attract new sources of investment, and strengthen the Region’s broadband infrastructure.",Discretionary Grants,Area and regional development,U.S. State Government (including the District of Columbia); Public/State Controlled Institution; Nonprofit with 501(c)(3) Status; Domestic Local Government (includes territories unless otherwise specified),State; Rural; Other public institution/organization; Public nonprofit institution/organization; Local,Broadband; Economic Development; Opioid Epidemic Response; Workforce Development,66012,28219,Opioid Epidemic Response,12923,0,2021-01-13 at 13.32.03
732067,Appalachian Regional Commission,POWER Initiative,"The POWER (Partnerships for Opportunity and Workforce and Economic Revitalization) Initiative helps communities and regions that have been affected by job losses in coal mining, coal power plant operations, and coal-related supply chain industries due to the changing economics of America’s energy production. The POWER Initiative funds projects that cultivate economic diversity, enhance job training and re-employment opportunities, create jobs in existing or new industries, attract new sources of investment, and strengthen the Region’s broadband infrastructure.",Discretionary Grants,Area and regional development,U.S. State Government (including the District of Columbia); Public/State Controlled Institution; Nonprofit with 501(c)(3) Status; Domestic Local Government (includes territories unless otherwise specified),State; Rural; Other public institution/organization; Public nonprofit institution/organization; Local,Broadband; Economic Development; Opioid Epidemic Response; Workforce Development,66012,28219,Workforce Development,13040,6299,2021-01-13 at 13.32.03
