`,name,description,agency,subagency,category,subcategory,type,assistance_type,2022_outlays,2022_foregone_revenue,2023_outlays,2023_foregone_revenue,2024_outlays,2024_foregone_revenue
ND.001,Interest on the National Debt,,Department of the Treasury,,Interest on the National Debt,Interest on the National Debt,interest_national_debt,Interest,,,,,,
TC.001,Exclusion of benefits and allowances to armed forces personnel ,"Under the baseline tax system, all compensation, including dedicated payments and in-kind benefits, should be included in taxable income because they represent accretions to wealth that do not materially differ from cash wages. For example, a rental voucher of $100 is (approximately) equal in value to $100 of cash income. In contrast to this treatment, certain housing and meals, in addition to other benefits provided military personnel, either in cash or in kind, as well as certain amounts of pay related to combat service, are excluded from income subject to tax.",Department of the Treasury,Internal Revenue Service (IRS),Tax Expenditures,National Defense,tax_expenditure,Tax Expenditure,,,,,,16910000000
TC.002,Exclusion of income earned abroad by U.S. citizens ,"Under the baseline tax system, all compensation received by U.S. citizens and residents is properly included in their taxable income. It makes no difference whether the compensation is a result of working abroad or whether it is labeled as a housing allowance. In contrast to this treatment, U.S. tax law allows U.S. citizens and residents who live abroad, work in the private sector, and satisfy a foreign residency requirement to exclude up to $80,000, plus adjustments for inflation since 2004, in foreign earned income from U.S. taxes. In addition, if these taxpayers are provided housing by their employers, then they may also exclude the cost of such housing from their income to the extent that it exceeds 16 percent of the earned income exclusion limit. This housing exclusion is capped at 30 percent of the earned income exclusion limit, with geographical adjustments. If taxpayers do not receive a specific allowance for housing expenses, they may deduct housing expenses up to the amount by which foreign earned income exceeds their foreign earned income exclusion.",Department of the Treasury,Internal Revenue Service (IRS),Tax Expenditures,International Affairs,tax_expenditure,Tax Expenditure,,,,,,5500000000
TC.003,Exclusion of certain allowances for Federal employees abroad,,Department of the Treasury,Internal Revenue Service (IRS),Tax Expenditures,International Affairs,tax_expenditure,Tax Expenditure,,,,,,330000000
TC.004,Reduced tax rate on active income of controlled foreign corporations (normal tax method),,Department of the Treasury,Internal Revenue Service (IRS),Tax Expenditures,International Affairs,tax_expenditure,Tax Expenditure,,,,,,36060000000
TC.005,Deduction for foreign-derived intangible income derived from trade or business within the United States,,Department of the Treasury,Internal Revenue Service (IRS),Tax Expenditures,International Affairs,tax_expenditure,Tax Expenditure,,,,,,15950000000
TC.006,Interest Charge Domestic International Sales Corporations (IC-DISCs) ,,Department of the Treasury,Internal Revenue Service (IRS),Tax Expenditures,International Affairs,tax_expenditure,Tax Expenditure,,,,,,1860000000
TC.007,Expensing of research and experimentation expenditures (normal tax method) ,,Department of the Treasury,Internal Revenue Service (IRS),Tax Expenditures,"General Science, Space, and Technology",tax_expenditure,Tax Expenditure,,,,,,-25050000000
TC.008,Credit for increasing research activities ,,Department of the Treasury,Internal Revenue Service (IRS),Tax Expenditures,"General Science, Space, and Technology",tax_expenditure,Tax Expenditure,,,,,,30040000000
TC.009,"Expensing of exploration and development costs, oil and gas",,Department of the Treasury,Internal Revenue Service (IRS),Tax Expenditures,Energy,tax_expenditure,Tax Expenditure,,,,,,550000000
TC.010,"Expensing of exploration and development costs, coal ",,Department of the Treasury,Internal Revenue Service (IRS),Tax Expenditures,Energy,tax_expenditure,Tax Expenditure,,,,,,40000000
TC.011,"Excess of percentage over cost depletion, oil and gas",,Department of the Treasury,Internal Revenue Service (IRS),Tax Expenditures,Energy,tax_expenditure,Tax Expenditure,,,,,,1400000000
TC.012,"Excess of percentage over cost depletion, coal",,Department of the Treasury,Internal Revenue Service (IRS),Tax Expenditures,Energy,tax_expenditure,Tax Expenditure,,,,,,90000000
TC.013,Exception from passive loss limitation for working interests in oil and gas properties ,,Department of the Treasury,Internal Revenue Service (IRS),Tax Expenditures,Energy,tax_expenditure,Tax Expenditure,,,,,,0
TC.014,Enhanced oil recovery credit,,Department of the Treasury,Internal Revenue Service (IRS),Tax Expenditures,Energy,tax_expenditure,Tax Expenditure,,,,,,200000000
TC.015,Marginal wells credit,,Department of the Treasury,Internal Revenue Service (IRS),Tax Expenditures,Energy,tax_expenditure,Tax Expenditure,,,,,,180000000
TC.016,Amortize all geological and geophysical expenditures over 2 years,,Department of the Treasury,Internal Revenue Service (IRS),Tax Expenditures,Energy,tax_expenditure,Tax Expenditure,,,,,,130000000
TC.017,Capital gains treatment of royalties on coal ,,Department of the Treasury,Internal Revenue Service (IRS),Tax Expenditures,Energy,tax_expenditure,Tax Expenditure,,,,,,50000000
TC.018,Exclusion of interest on energy facility bonds ,,Department of the Treasury,Internal Revenue Service (IRS),Tax Expenditures,Energy,tax_expenditure,Tax Expenditure,,,,,,0
TC.019,Qualified energy conservation bonds,,Department of the Treasury,Internal Revenue Service (IRS),Tax Expenditures,Energy,tax_expenditure,Tax Expenditure,,,,,,30000000
TC.020,Exclusion of utility conservation subsidies,,Department of the Treasury,Internal Revenue Service (IRS),Tax Expenditures,Energy,tax_expenditure,Tax Expenditure,,,,,,70000000
TC.021,Credit for holding clean renewable energy bonds,,Department of the Treasury,Internal Revenue Service (IRS),Tax Expenditures,Energy,tax_expenditure,Tax Expenditure,,,,,,70000000
TC.022,Energy production credit,,Department of the Treasury,Internal Revenue Service (IRS),Tax Expenditures,Energy,tax_expenditure,Tax Expenditure,,,,,,7220000000
