program_number,title,popular_name,agency,sub-agency,objective,sam_url,usaspending_url,grants_url,assistance_types,beneficiary_types,applicant_types,categories,obligations,outlays,other expenditures
000,NONE OF THE DOD ACQUISITION PROGRAM CODES APPLY,NONE,Unspecified,N/A,,,,,Contracts,,,,,"[{""x"":""2023"",""outlay"":0.0,""obligation"":343642310806.24},{""x"":""2024"",""outlay"":0.0,""obligation"":357279143967.98},{""x"":""2025"",""outlay"":0.0,""obligation"":309723939472.13}]",
07D,NGA MAVEN,NGA MAVEN,Unspecified,N/A,,,,,Contracts,,,,,"[{""x"":""2023"",""outlay"":0.0,""obligation"":0.0},{""x"":""2024"",""outlay"":0.0,""obligation"":0.0},{""x"":""2025"",""outlay"":0.0,""obligation"":606099.71}]",
0AS,C-32 Senior Leader Command Control Communication System,C-32  SLC3S,Unspecified,N/A,,,,,Contracts,,,,,"[{""x"":""2023"",""outlay"":0.0,""obligation"":0.0},{""x"":""2024"",""outlay"":0.0,""obligation"":0.0},{""x"":""2025"",""outlay"":0.0,""obligation"":73153.54}]",
0MR,Non-Intrusive Inspection System,NIIS,Unspecified,N/A,,,,,Contracts,,,,,"[{""x"":""2023"",""outlay"":0.0,""obligation"":0.0},{""x"":""2024"",""outlay"":0.0,""obligation"":327485.46},{""x"":""2025"",""outlay"":0.0,""obligation"":0.0}]",
10.001,Agricultural Research Basic and Applied Research,Extramural Research,Department of Agriculture,Agricultural Research Service,"There are over 600 research and development projects being conducted by ARS scientists to deliver cutting-edge, scientific tools and innovative solutions for American farmers, producers, industry, and communities to support the nourishment and well-being of all people; sustain our nation’s agroecosystems and natural resources; and ensure the economic competitiveness and excellence of our agriculture. Our scientists frequently collaborate with research partners from universities, companies, other organizations, and other countries.",https://sam.gov/fal/d8d161028bcd44518cf0403bb88cd50c/view,https://www.usaspending.gov/search/?hash=18cb3a3832367db6bd1e2e34005771cf,https://grants.gov/search-grants?cfda=10.001,"Direct Payments for a Specified Use,Project Grants",,Anyone/general public,A Agricultural - Agricultural Resources and Services,"[{""x"":""2023"",""sam_spending"":374474444.0,""usa_spending_actual"":287057663.9},{""x"":""2024"",""sam_spending"":379881117.0,""usa_spending_actual"":305580097.24},{""x"":""2025"",""sam_spending"":379180000.0,""usa_spending_actual"":13208089.48}]","[{""x"":""2023"",""outlay"":138625283.35,""obligation"":180501434.71},{""x"":""2024"",""outlay"":86546286.1,""obligation"":179332856.19},{""x"":""2025"",""outlay"":5150319.3,""obligation"":6829832.72}]",
10.025,"Plant and Animal Disease, Pest Control, and Animal Care",,Department of Agriculture,Animal and Plant Health Inspection Service,"To protect U.S. agriculture from economically injurious plant and animal diseases and pests, ensure the safety and potency of veterinary biologic, and ensure the humane treatment of animals.  APHIS monitors and responds to potential diseases of livestock,  wildlife, and invasive species as it strives to assure its stakeholders that it is on guard against the introduction or re-emergence of animal and plant pests and diseases that could limit agricultural production.",https://sam.gov/fal/7cb0af3ab92d4dd59fe77e0d935d87a7/view,https://www.usaspending.gov/search/?hash=14eaa67c6f732080327a6e8382429a94,https://grants.gov/search-grants?cfda=10.025,Project Grants,"Farmer/Rancher/Agriculture Producer,Local,Private nonprofit institution/organization,Public nonprofit institution/organization,State,U.S. Territories","Local (includes State-designated Indian Tribes, excludes institutions of higher education and hospitals,Public nonprofit institution/organization (includes institutions of higher education and hospitals),State (includes District of Columbia, public institutions of higher education and hospitals),U.S. Territories and possessions (includes institutions of higher education and hospitals)",A Agricultural - Agricultural Resources and Services,"[{""x"":""2023"",""sam_spending"":476484062.0,""usa_spending_actual"":428320277.81},{""x"":""2024"",""sam_spending"":434325038.0,""usa_spending_actual"":292278529.74},{""x"":""2025"",""sam_spending"":400772734.0,""usa_spending_actual"":53213822.13}]","[{""x"":""2023"",""outlay"":298547739.16,""obligation"":417516199.62},{""x"":""2024"",""outlay"":174709364.44,""obligation"":307108775.29},{""x"":""2025"",""outlay"":9282729.62,""obligation"":90127292.09}]",
10.028,Wildlife Services,,Department of Agriculture,Animal and Plant Health Inspection Service,"To reduce damage caused by mammals and birds and those mammal and bird species that are reservoirs for zoonotic diseases, (except for urban rodent control through control and research activities).  Wherever feasible, humane methods will be emphasized.",https://sam.gov/fal/cf0bf9cf00ae4e99a5298f7481c0f59a/view,https://www.usaspending.gov/search/?hash=2df0b8c28bdad7188ee1e05b231f8ae8,https://grants.gov/search-grants?cfda=10.028,Project Grants,"Farmer/Rancher/Agriculture Producer,Federally Recognized Indian Tribal Governments,Industrialist/ Business person,Land/Property Owner,Local,Public nonprofit institution/organization,State","Federally Recognized Indian Tribal Governments,Local (includes State-designated Indian Tribes, excludes institutions of higher education and hospitals,Private nonprofit institution/organization (includes institutions of higher education and hospitals),Public nonprofit institution/organization (includes institutions of higher education and hospitals),State (includes District of Columbia, public institutions of higher education and hospitals)",A Agricultural - Agricultural Resources and Services,"[{""x"":""2023"",""sam_spending"":53255725.0,""usa_spending_actual"":63477734.15},{""x"":""2024"",""sam_spending"":19726814.0,""usa_spending_actual"":18416819.74},{""x"":""2025"",""sam_spending"":17754132.0,""usa_spending_actual"":433530.32}]","[{""x"":""2023"",""outlay"":31811919.14,""obligation"":62703903.95},{""x"":""2024"",""outlay"":6957965.07,""obligation"":18681090.63},{""x"":""2025"",""outlay"":35904.03,""obligation"":1612459.27}]",
10.030,Indemnity Program,,Department of Agriculture,Animal and Plant Health Inspection Service,"Animal and Plant Health Inspection Service administers regulations at 9 CFR parts 50 to 56 that authorizes payment for indemnities.  This authority covers a wide variety of indemnity situations ranging from large livestock depopulations to small fowl depopulations, and there are various indemnity calculations and processes for determining the indemnity value for each specific species.  The Secretary of Agriculture offers an opinion that constitutes an emergency and threatens the U.S. animal population.  Payment for the destroyed animals is based on fair market value.  Also, under Section 415 (e) of the Plant Protection Act (Title IV of Public Law 106-224), under a declaration of extraordinary emergency because of the presence of a plant pest or noxious weed that is new to or not known to be widely prevalent in the United States, the Secretary may pay compensation for economic losses incurred by as a result of actions taken under the authorities in this section (415).",https://sam.gov/fal/8ddc257bb6274180b6373f3f0ed323b0/view,https://www.usaspending.gov/search/?hash=ea01fde98ae536bfcb06224a6c967443,https://grants.gov/search-grants?cfda=10.030,Direct Payments with Unrestricted Use,Anyone/general public,Anyone/general public,,"[{""x"":""2023"",""sam_spending"":896737.22,""usa_spending_actual"":229563813.54},{""x"":""2024"",""sam_spending"":1226204.8,""usa_spending_actual"":565884463.18},{""x"":""2025"",""sam_spending"":1462770.16,""usa_spending_actual"":214037903.49}]","[{""x"":""2023"",""outlay"":227777527.67,""obligation"":229503760.3},{""x"":""2024"",""outlay"":367897603.34,""obligation"":565944516.42},{""x"":""2025"",""outlay"":0.0,""obligation"":214037903.49}]",
10.047,Tribal Food Sovereignty,,Department of Agriculture,Immediate Office of the Secretary of Agriculture,"The USDA Indigenous Food Sovereignty Initiative promotes traditional food ways, Indian Country food and agriculture markets, and Indigenous health through foods tailored to American Indian/Alaska Native (AI/AN) dietary needs. USDA is partnering with tribal-serving organizations on projects to reimagine federal food and agriculture programs from an Indigenous perspective and inform future USDA programs and policies.",https://sam.gov/fal/70cb51ff742f478f9b1ca030007e7a8f/view,https://www.usaspending.gov/search/?hash=f785204938aab769e1d95da19efe518f,https://grants.gov/search-grants?cfda=10.047,Project Grants,"American Indian,Federally Recognized Indian Tribal Governments,Native American Organizations","Federal,Federally Recognized Indian Tribal Governments,Indian/Native American Tribally Designated Organization,Local (includes State-designated Indian Tribes, excludes institutions of higher education and hospitals,Private nonprofit institution/organization (includes institutions of higher education and hospitals),Public nonprofit institution/organization (includes institutions of higher education and hospitals),State",K Food and Nutrition - Food and Nutrition Assistance,"[{""x"":""2023"",""sam_spending"":1063700.0,""usa_spending_actual"":973700.0},{""x"":""2024"",""sam_spending"":1261537.0,""usa_spending_actual"":1650260.0},{""x"":""2025"",""sam_spending"":500000.0,""usa_spending_actual"":0.0}]","[{""x"":""2023"",""outlay"":367506.72,""obligation"":973700.0},{""x"":""2024"",""outlay"":200679.92,""obligation"":1650260.0},{""x"":""2025"",""outlay"":0.0,""obligation"":0.0}]",
10.048,Tribal Agriculture Technical Assistance,,Department of Agriculture,Immediate Office of the Secretary of Agriculture,"The Intertribal Technical Assistance Network (ITAN) was established to increase access and use of USDA programs and services by Indian producers and Tribes.
ITAN supports USDA in delivering programs and services through technical assistance and outreach to farmers and ranchers with a focus on providing local and traditional foods to American Indian/Alaskan Native tribal members and improving the market access both domestically and around the world for tribally produced foods.",https://sam.gov/fal/07de7722a26e4a1e804a1a0fb7f263ec/view,https://www.usaspending.gov/search/?hash=ca8b7a386474793b4f190f352eb63aca,https://grants.gov/search-grants?cfda=10.048,Project Grants,"American Indian,Federally Recognized Indian Tribal Governments,Native American Organizations","Federally Recognized Indian Tribal Governments,Indian/Native American Tribally Designated Organization,Local (includes State-designated Indian Tribes, excludes institutions of higher education and hospitals,Native American Organizations (includes Indian groups, cooperatives, corporations, partnerships, associations),Private nonprofit institution/organization (includes institutions of higher education and hospitals),Public nonprofit institution/organization (includes institutions of higher education and hospitals),Tribally Controlled Colleges and Universities (TCCUs)",A Agricultural - Farm Income Stabilization,"[{""x"":""2023"",""sam_spending"":3000000.0,""usa_spending_actual"":813250.0},{""x"":""2024"",""sam_spending"":2987223.0,""usa_spending_actual"":2050000.0},{""x"":""2025"",""sam_spending"":2500000.0,""usa_spending_actual"":2345432.0}]","[{""x"":""2023"",""outlay"":509452.68,""obligation"":813250.0},{""x"":""2024"",""outlay"":0.0,""obligation"":2050000.0},{""x"":""2025"",""outlay"":495301.7,""obligation"":2345432.0}]",
